Threshold,Namespace,Eligible Proteins,Proteins With ProtNote Predictions,Proteins With >=1 Exact Match,Protein Exact Agreement Rate,ProtNote GO Terms,InterPro2GO Terms,Exact Matching GO Terms,Term-Level Exact Precision,Term-Level Exact Recall
0.5,CC,4122,1773,677,0.3818386914833615,3513,4670,770,0.21918588101337888,0.16488222698072805
0.5,MF,4031,2796,1532,0.547925608011445,9394,8841,2060,0.21928890781349797,0.23300531614070807
0.5,BP,4252,3438,624,0.18150087260034903,13658,12960,731,0.05352174549714453,0.05640432098765432
0.7,CC,4122,1011,401,0.39663699307616224,1809,2838,451,0.24930901050304036,0.15891472868217055
0.7,MF,4031,2352,1307,0.5556972789115646,7481,7848,1714,0.22911375484560886,0.21839959225280325
0.7,BP,4252,2666,496,0.18604651162790697,10331,10605,587,0.05681928177330365,0.05535124941065535
0.8,CC,4122,655,256,0.39083969465648855,1149,1905,282,0.2454308093994778,0.14803149606299212
0.8,MF,4031,1972,1127,0.571501014198783,6336,6868,1472,0.23232323232323232,0.21432731508444963
0.8,BP,4252,2097,409,0.1950405340963281,8468,8721,480,0.05668398677373642,0.05503955968352253
0.9,CC,4122,348,120,0.3448275862068966,564,1116,134,0.2375886524822695,0.12007168458781362
0.9,MF,4031,1476,843,0.5711382113821138,4853,5520,1092,0.225015454358129,0.19782608695652174
0.9,BP,4252,1511,286,0.18927862342819324,6308,6611,331,0.05247305009511731,0.05006806837089699
