Has_PFam,Has_CDD,Has_Gene3D,Has_Hamap,Has_NCBIfam,Has_PANTHER,Has_PRINTS,Has_SFLD,Has_PirSF,Has_Prosite,Has_SMART,Has_Superfamily,Has_InterPro,Has_Any_GO,Protein_Count
False,False,False,False,False,False,False,False,False,False,False,False,False,False,526
False,False,False,False,False,False,False,False,False,False,False,False,False,True,56
False,False,False,False,False,True,False,False,False,False,False,False,True,True,42
False,False,True,False,False,True,False,False,False,False,False,True,True,True,31
False,False,False,False,False,True,False,False,False,False,False,False,True,False,19
False,False,True,False,False,False,False,False,False,False,False,True,True,True,15
False,False,True,False,False,True,False,False,False,True,True,True,True,True,10
False,False,True,False,False,False,False,False,False,False,False,False,True,False,10
False,False,True,False,False,False,False,False,False,False,False,True,True,False,9
False,False,False,False,False,False,False,False,False,False,False,True,True,True,8
False,False,True,False,False,True,False,False,False,False,False,True,True,False,7
False,False,True,False,False,True,False,False,False,False,False,False,True,True,7
False,False,True,False,False,True,False,False,False,True,False,True,True,True,7
False,False,False,False,False,False,False,False,False,True,False,False,True,False,7
False,False,True,False,False,False,False,False,False,False,False,False,True,True,7
False,False,True,False,False,False,False,False,False,True,False,True,True,True,6
False,True,False,False,False,True,False,False,False,False,False,False,True,True,6
False,True,True,False,False,True,False,False,False,False,True,True,True,True,5
False,True,True,False,False,True,False,False,False,True,True,True,True,True,5
False,False,False,False,False,False,False,False,False,False,False,True,True,False,5
False,False,False,False,False,True,False,False,False,False,False,True,True,True,5
False,True,True,False,False,False,False,False,False,False,False,True,True,True,4
False,True,True,False,False,True,False,False,False,True,False,True,True,True,4
False,True,True,False,False,True,False,False,False,False,False,True,True,True,4
False,True,True,False,False,True,False,False,False,False,False,False,True,True,4
False,False,True,False,False,True,False,False,False,False,True,True,True,True,4
False,False,False,False,False,False,False,False,False,False,True,False,True,True,3
False,False,False,False,False,False,False,False,False,True,False,True,True,True,3
False,False,True,False,False,False,False,False,False,True,False,False,True,True,3
False,True,False,True,False,True,False,False,False,True,False,False,True,True,2
False,True,True,False,False,False,False,False,False,False,False,False,True,False,2
False,True,True,False,False,False,False,False,False,True,True,True,True,True,2
False,True,False,False,False,False,False,False,False,False,False,False,True,True,2
False,False,False,False,False,True,False,False,False,False,True,False,True,True,2
False,False,False,False,False,False,False,False,False,True,False,False,True,True,2
False,True,False,False,False,True,False,False,False,True,True,False,True,True,1
False,True,False,False,False,True,False,False,False,True,False,False,True,True,1
False,True,False,False,False,True,False,False,True,False,False,False,True,False,1
False,False,False,False,False,True,False,False,True,True,False,False,True,True,1
False,True,True,False,False,False,False,False,False,False,False,False,True,True,1
False,True,True,False,False,False,False,False,False,False,True,True,True,True,1
False,True,True,False,False,False,False,False,False,True,False,True,True,True,1
False,True,False,False,False,True,False,False,False,False,True,True,True,True,1
False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
False,True,False,False,False,True,False,False,False,False,False,False,True,False,1
False,False,False,False,False,False,True,False,False,False,True,False,True,True,1
False,False,False,False,False,True,False,False,False,True,False,False,True,True,1
False,False,False,False,False,True,False,False,False,False,True,True,True,True,1
False,False,True,False,False,False,False,False,False,False,True,True,True,True,1
False,False,False,False,False,True,False,False,False,False,False,True,True,False,1
False,False,True,False,False,False,False,False,False,True,True,True,True,True,1
False,False,True,False,False,False,True,False,False,False,False,True,True,True,1
False,False,False,False,False,False,True,False,False,False,False,False,True,True,1
False,True,False,False,False,False,False,False,False,True,True,False,True,True,1
False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
False,False,False,False,False,False,False,False,False,True,True,False,True,True,1
False,False,True,False,False,True,False,False,False,False,True,False,True,True,1
False,False,True,False,False,True,False,False,True,True,True,True,True,True,1
False,False,True,False,False,True,True,False,False,True,True,True,True,True,1
False,False,False,False,False,True,True,False,False,False,True,False,True,True,1
False,False,True,False,False,True,False,False,False,False,False,False,True,False,1
