Gene ID,source_id,Organism,Genomic Location (Gene),Product Description,Molecular Weight,Chromosome,PFam ID,Protein Length,Ortholog count,Paralog count,PFam Description,CDD ID,Gene3D ID,Hamap ID,NCBIfam ID,PANTHER ID,PRINTS ID,SFLD ID,CDD Description,Gene3D Description,Hamap Description,NCBIfam Description,PANTHER Description,PRINTS Description,SFLD Description,PirSF ID,PirSF Description,Prositefamilies ID,Prositefamilies Description,Smart ID,Smart Description,Superfamily ID,Superfamily Description,InterPro ID,InterPro Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,Has_PFam,Has_CDD,Has_Gene3D,Has_Hamap,Has_NCBIfam,Has_PANTHER,Has_PRINTS,Has_SFLD,Has_PirSF,Has_Prosite,Has_SMART,Has_Superfamily,Has_InterPro,Has_GO_Component,Has_GO_Function,Has_GO_Process,Has_Any_GO,Has_Any_Conventional_Evidence,Annotation_Poor
B9J08_000005,B9J08_000005-t37_1,Candida auris strain B8441,"PEKT02000001:13,716..14,324(+)",hypothetical protein,20324,Not Assigned,,202,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000006,B9J08_000006-t37_1,Candida auris strain B8441,"PEKT02000001:14,507..15,319(+)",hypothetical protein,31638,Not Assigned,,270,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000014,B9J08_000014-t37_1,Candida auris strain B8441,"PEKT02000001:35,455..37,227(+)",hypothetical protein,70191,Not Assigned,,590,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000019,B9J08_000019-t37_1,Candida auris strain B8441,"PEKT02000001:51,614..52,690(-)",hypothetical protein,40065,Not Assigned,,358,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000021,B9J08_000021-t37_1,Candida auris strain B8441,"PEKT02000001:56,212..57,663(+)",hypothetical protein,55338,Not Assigned,,483,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000022,B9J08_000022-t37_1,Candida auris strain B8441,"PEKT02000001:57,805..58,566(+)",hypothetical protein,29232,Not Assigned,,253,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000040,B9J08_000040-t37_1,Candida auris strain B8441,"PEKT02000001:93,149..95,092(-)",hypothetical protein,74721,Not Assigned,,647,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000043,B9J08_000043-t37_1,Candida auris strain B8441,"PEKT02000001:97,444..99,981(+)",hypothetical protein,92858,Not Assigned,,845,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000052,B9J08_000052-t37_1,Candida auris strain B8441,"PEKT02000001:116,280..116,870(-)",hypothetical protein,21799,Not Assigned,,196,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000070,B9J08_000070-t37_1,Candida auris strain B8441,"PEKT02000001:150,251..152,248(-)",hypothetical protein,73135,Not Assigned,,665,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
