Gene ID,source_id,Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,ProtNLM prediction,ProtNLM score,ProtNote GO predictions,GO2SUM summary,Validation category,Notes,GO component count,GO function count,GO process count,Total computed GO count
B9J08_000492,B9J08_000492-t37_1,hypothetical protein,GO:0071563;GO:0030479;GO:0032432;GO:1990819;GO:0051285;GO:1902716;GO:0032153;GO:0051286;GO:0005935;GO:0005934;GO:0090726;GO:0031941;GO:0000329;GO:0000131;GO:0097575;GO:0043332;GO:0031097;GO:0034993;GO:0016459;GO:0031521;GO:0030133;GO:0031982,Myo2p-Vac17p-Vac8p transport complex;actin cortical patch;actin filament bundle;actin fusion focus;cell cortex of cell tip;cell cortex of growing cell tip;cell division site;cell tip;cellular bud neck;cellular bud tip;cortical dynamic polarity patch;filamentous actin;fungal-type vacuole membrane;inc,GO:0005524;GO:0051015;GO:0005516;GO:0003774;GO:0000146;GO:0005515,ATP binding;actin filament binding;calmodulin binding;cytoskeletal motor activity;microfilament motor activity;protein binding,GO:0048313;GO:0061572;GO:0061573;GO:0007118;GO:0000132;GO:0071963;GO:0070649;GO:0030448;GO:0007107;GO:0000001;GO:0000281;GO:0045033;GO:1904601;GO:1990896;GO:0009826;GO:0000011;GO:0006904;GO:0030050;GO:0016192,Golgi inheritance;actin filament bundle organization;actin filament bundle retrograde transport;budding cell apical bud growth;establishment of mitotic spindle orientation;establishment or maintenance of cell polarity regulating cell shape;formin-nucleated actin cable assembly;hyphal growth;membrane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.4.1 (Transferred entry: 5.6.1.8),,,,,,,22,6,19,47
B9J08_003424,B9J08_003424-t37_1,hypothetical protein,GO:0005935;GO:0000776;GO:0072687;GO:0090619;GO:0035974;GO:0072686;GO:1990023;GO:0097431;GO:0044732;GO:0005634;GO:0000922,cellular bud neck;kinetochore;meiotic spindle;meiotic spindle pole;meiotic spindle pole body;mitotic spindle;mitotic spindle midzone;mitotic spindle pole;mitotic spindle pole body;nucleus;spindle pole,GO:0005524;GO:0019237;GO:0051219;GO:0005515;GO:0004672;GO:0004674;GO:0004713;GO:0044877,ATP binding;centromeric DNA binding;phosphoprotein binding;protein binding;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;protein-containing complex binding,GO:0031670;GO:0010458;GO:0045143;GO:0035556;GO:1990813;GO:0090306;GO:0051455;GO:1904750;GO:0010971;GO:0035025;GO:1902425;GO:0045793;GO:1905339;GO:0010973;GO:1903490;GO:0045842;GO:0010696;GO:0046827;GO:0110083;GO:0140434;GO:0031031;GO:0045944;GO:0006468;GO:1903353;GO:1902542;GO:0000712;GO:0070194,cellular response to nutrient;exit from mitosis;homologous chromosome segregation;intracellular signal transduction;meiotic centromeric cohesion protection;meiotic spindle assembly;monopolar spindle attachment to meiosis I kinetochore;negative regulation of protein localization to nucleolus;positive,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.21 (Polo kinase),2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.21 (Polo kinase),,,,,,,11,8,27,46
B9J08_001868,B9J08_001868-t37_1,hypothetical protein,GO:0030869;GO:0032153;GO:0005737;GO:0000776;GO:0110085;GO:0120105;GO:0072686;GO:1990023;GO:0044732;GO:0005730;GO:0005654;GO:0005634;GO:0005816,"RENT complex;cell division site;cytoplasm;kinetochore;mitotic actomyosin contractile ring;mitotic actomyosin contractile ring, intermediate layer;mitotic spindle;mitotic spindle midzone;mitotic spindle pole body;nucleolus;nucleoplasm;nucleus;spindle pole body",GO:0016791;GO:0004721;GO:0004722;GO:0004725;GO:0008138,phosphatase activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity,GO:0000422;GO:0007049;GO:0051301;GO:0006974;GO:0071470;GO:0035853;GO:0007059;GO:0016311;GO:0051229;GO:1902406;GO:0000278;GO:0044878;GO:0010972;GO:0070262;GO:1902425;GO:2000786;GO:0032467;GO:0031536;GO:1903501;GO:1903490;GO:1902846;GO:0031031;GO:0006470;GO:0034501;GO:1902440;GO:0007096;GO:1904789;GO:,autophagy of mitochondrion;cell cycle;cell division;cellular response to DNA damage stimulus;cellular response to osmotic stress;chromosome passenger complex localization to spindle midzone;chromosome segregation;dephosphorylation;meiotic spindle disassembly;mitotic actomyosin contractile ring maint,N/A,N/A,N/A,N/A,N/A,N/A,3.1.3.48 (Protein-tyrosine-phosphatase),3.1.3.16 (Protein-serine/threonine phosphatase);3.1.3.41 (4-nitrophenylphosphatase);3.1.3.48 (Protein-tyrosine-phosphatase),,,,,,,13,5,28,46
B9J08_004138,B9J08_004138-t37_1,hypothetical protein,GO:0005884;GO:0032153;GO:0005935;GO:0005934;GO:0005737;GO:0001411;GO:0000131;GO:0043332;GO:0071341;GO:0110085;GO:0120104;GO:0000133;GO:0031521,"actin filament;cell division site;cellular bud neck;cellular bud tip;cytoplasm;hyphal tip;incipient cellular bud site;mating projection tip;medial cortical node;mitotic actomyosin contractile ring;mitotic actomyosin contractile ring, proximal layer;polarisome;spitzenkorper",GO:1990808;GO:0017048;GO:0003779;GO:0005522;GO:0031267,F-bar domain binding;Rho GTPase binding;actin binding;profilin binding;small GTPase binding,GO:0030036;GO:0051017;GO:1904670;GO:0045010;GO:0000915;GO:0051016;GO:0007118;GO:0090529;GO:0016043;GO:0034605;GO:0000910;GO:0000132;GO:0007163;GO:0070649;GO:0030448;GO:1903475;GO:1903479;GO:1902406;GO:1904530;GO:2000813;GO:2000251;GO:0030838;GO:1904498;GO:1903827;GO:0032880,actin cytoskeleton organization;actin filament bundle assembly;actin filament polymerization involved in mitotic actomyosin contractile ring assembly;actin nucleation;actomyosin contractile ring assembly;barbed-end actin filament capping;budding cell apical bud growth;cell septum assembly;cellular c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,13,5,25,43
B9J08_000984,B9J08_000984-t37_1,hypothetical protein,GO:0071521;GO:0032153;GO:0051286;GO:0005737;GO:0000131;GO:0043332;GO:0110085;GO:0120105;GO:0005634;GO:0005876,"Cdc42 GTPase complex;cell division site;cell tip;cytoplasm;incipient cellular bud site;mating projection tip;mitotic actomyosin contractile ring;mitotic actomyosin contractile ring, intermediate layer;nucleus;spindle microtubule",GO:0005524;GO:0008349;GO:0019899;GO:0044025;GO:0004672;GO:0004674;GO:0004713,ATP binding;MAP kinase kinase kinase kinase activity;enzyme binding;histone kinase activity (H2B-S14 specific);protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0032488;GO:0007121;GO:0007118;GO:0034605;GO:0035404;GO:0001403;GO:0010629;GO:1903472;GO:0000122;GO:0000185;GO:0007232;GO:0000750;GO:0043065;GO:0061161;GO:2000247;GO:0062038;GO:0006468;GO:0007124;GO:0007096;GO:0010468;GO:0070507;GO:0001402;GO:0035376;GO:0034063;GO:0000011,Cdc42 protein signal transduction;bipolar cellular bud site selection;budding cell apical bud growth;cellular response to heat;histone-serine phosphorylation;invasive growth in response to glucose limitation;negative regulation of gene expression;negative regulation of mitotic actomyosin contractile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.1 (Non-specific serine/threonine protein kinase),,,,,,,10,7,25,42
B9J08_001348,B9J08_001348-t37_1,hypothetical protein,GO:0032133;GO:0000775;GO:0000777;GO:0005828;GO:0072687;GO:1990385;GO:1990023;GO:0005819;GO:0005876;GO:0051233,"chromosome passenger complex;chromosome, centromeric region;condensed chromosome kinetochore;kinetochore microtubule;meiotic spindle;meiotic spindle midzone;mitotic spindle midzone;spindle;spindle microtubule;spindle midzone",GO:0005524;GO:0035175;GO:0004672;GO:0004674;GO:0004713,ATP binding;histone kinase activity (H3-S10 specific);protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0008608;GO:0051316;GO:0031670;GO:0007059;GO:0045143;GO:0120110;GO:0045144;GO:0033316;GO:0044774;GO:0000070;GO:0007094;GO:0051228;GO:1901925;GO:0018105;GO:0010971;GO:0090267;GO:1903380;GO:1905824;GO:0140429;GO:0034501;GO:0034503;GO:0006468;GO:0032465;GO:0090266;GO:1902412;GO:1901673,attachment of spindle microtubules to kinetochore;attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation;cellular response to nutrient;chromosome segregation;homologous chromosome segregation;interphase mitotic telomere clustering;meiotic sister chromatid segreg,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.1 (Non-specific serine/threonine protein kinase),"2.7.1.37 (2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25,2.7.11.30 and 2.7.12.1);2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.17 (Calcium/calmodulin-dependent protein kinase);2.7.11.18 ([Myosin light-chain] kinase);2.7.11.21 (Polo kinase)",,,,,,,10,5,26,41
B9J08_002235,B9J08_002235-t37_1,hypothetical protein,GO:0005794;GO:0032153;GO:0005935;GO:0005934;GO:0000775;GO:0005737;GO:0044732;GO:0033551;GO:0000228;GO:0005634;GO:0005777;GO:0000407;GO:0005886;GO:0030688;GO:0005816,"Golgi apparatus;cell division site;cellular bud neck;cellular bud tip;chromosome, centromeric region;cytoplasm;mitotic spindle pole body;monopolin complex;nuclear chromosome;nucleus;peroxisome;phagophore assembly site;plasma membrane;preribosome, small subunit precursor;spindle pole body",GO:0005524;GO:0004672;GO:0004674;GO:0004713,ATP binding;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0006281;GO:0030242;GO:0045143;GO:0030999;GO:0007094;GO:0051455;GO:0038083;GO:0018108;GO:2000370;GO:0010845;GO:0006468;GO:0006282;GO:0060628;GO:2000785;GO:0032880;GO:2001159;GO:0106214;GO:0042273;GO:0042274;GO:0002098,DNA repair;autophagy of peroxisome;homologous chromosome segregation;linear element assembly;mitotic spindle assembly checkpoint signaling;monopolar spindle attachment to meiosis I kinetochore;peptidyl-tyrosine autophosphorylation;peptidyl-tyrosine phosphorylation;positive regulation of clathrin-dep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.26 ([Tau protein] kinase),,,,,,,15,4,20,39
B9J08_004970,B9J08_004970-t37_1,hypothetical protein,GO:0055028;GO:0005737;GO:0005881;GO:0016938;GO:0005874;GO:0015630;GO:0035371;GO:0072686;GO:0061673;GO:1990023;GO:0005880;GO:0005634;GO:0005873;GO:1990295,cortical microtubule;cytoplasm;cytoplasmic microtubule;kinesin I complex;microtubule;microtubule cytoskeleton;microtubule plus-end;mitotic spindle;mitotic spindle astral microtubule;mitotic spindle midzone;nuclear microtubule;nucleus;plus-end kinesin complex;post-anaphase microtubule array,GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0008574;GO:0070463,ATP binding;ATP hydrolysis activity;microtubule binding;microtubule motor activity;plus-end-directed microtubule motor activity;tubulin-dependent ATPase activity,GO:0010938;GO:1902426;GO:0000132;GO:0045144;GO:0007019;GO:0007018;GO:1903475;GO:1990942;GO:1990758;GO:0000070;GO:0090307;GO:0051228;GO:0007052;GO:0031115;GO:0030473;GO:0070462;GO:0140210;GO:0032888,cytoplasmic microtubule depolymerization;deactivation of mitotic spindle assembly checkpoint;establishment of mitotic spindle orientation;meiotic sister chromatid segregation;microtubule depolymerization;microtubule-based movement;mitotic actomyosin contractile ring assembly;mitotic metaphase chromo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.15 (Nucleoside-triphosphate phosphatase),,,,,,,14,6,18,38
B9J08_003387,B9J08_003387-t37_1,hypothetical protein,GO:0000235;GO:0051285;GO:0055028;GO:0005881;GO:0005874;GO:0015630;GO:0035371;GO:0061673;GO:1990023;GO:0044732;GO:0005880;GO:0005819;GO:0051233;GO:0000922,astral microtubule;cell cortex of cell tip;cortical microtubule;cytoplasmic microtubule;microtubule;microtubule cytoskeleton;microtubule plus-end;mitotic spindle astral microtubule;mitotic spindle midzone;mitotic spindle pole body;nuclear microtubule;spindle;spindle midzone;spindle pole,GO:0001671;GO:0008093;GO:0008017;GO:0099609;GO:0051010;GO:0005515,ATPase activator activity;cytoskeletal anchor activity;microtubule binding;microtubule lateral binding;microtubule plus-end binding;protein binding,GO:0030543;GO:0051315;GO:0007049;GO:0051301;GO:0034613;GO:0030989;GO:0000742;GO:0007019;GO:0007064;GO:0031578;GO:0007026;GO:0030473;GO:0000743;GO:0031116;GO:0035372;GO:1904825;GO:0031110,2-micrometer plasmid partitioning;attachment of mitotic spindle microtubules to kinetochore;cell cycle;cell division;cellular protein localization;dynein-driven meiotic oscillatory nuclear movement;karyogamy involved in conjugation with cellular fusion;microtubule depolymerization;mitotic sister chr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,14,6,17,37
B9J08_002675,B9J08_002675-t37_1,hypothetical protein,GO:0005739;GO:0043596;GO:0005730;GO:0005634;GO:0005657;GO:0035861,mitochondrion;nuclear replication fork;nucleolus;nucleus;replication fork;site of double-strand break,GO:0043139;GO:0033678;GO:0005524;GO:0016887;GO:0061995;GO:0003678;GO:1990814;GO:0051880;GO:0003723;GO:0070336;GO:0004386;GO:0000166;GO:0017116;GO:0010521,5'-3' DNA helicase activity;5'-3' DNA/RNA helicase activity;ATP binding;ATP hydrolysis activity;ATP-dependent protein-DNA complex displacement activity;DNA helicase activity;DNA/DNA annealing activity;G-quadruplex DNA binding;RNA binding;flap-structured DNA binding;helicase activity;nucleotide bindi,GO:0032508;GO:0006310;GO:0006281;GO:0006260;GO:1902983;GO:0044806;GO:0043504;GO:0000002;GO:0098781;GO:0032211;GO:0045911;GO:1905467;GO:1903469;GO:0097046;GO:0071932;GO:0000723,DNA duplex unwinding;DNA recombination;DNA repair;DNA replication;DNA strand elongation involved in mitotic DNA replication;G-quadruplex DNA unwinding;mitochondrial DNA repair;mitochondrial genome maintenance;ncRNA transcription;negative regulation of telomere maintenance via telomerase;positive reg,N/A,N/A,N/A,N/A,N/A,N/A,3.6.4.12 (DNA helicase),3.6.4.12 (DNA helicase),,,,,,,6,14,16,36
B9J08_003467,B9J08_003467-t37_1,hypothetical protein,GO:0071162;GO:0031261;GO:0042555;GO:0097373;GO:0005737;GO:0005656;GO:0043596;GO:0005634;GO:0030875;GO:0031298,CMG complex;DNA replication preinitiation complex;MCM complex;MCM core complex;cytoplasm;nuclear pre-replicative complex;nuclear replication fork;nucleus;rDNA protrusion;replication fork protection complex,GO:0043138;GO:0033679;GO:0005524;GO:0016887;GO:0003677;GO:0003678;GO:0003688;GO:0003682;GO:0009378;GO:0000166;GO:1990518;GO:0003697;GO:0017116;GO:0003727,3'-5' DNA helicase activity;3'-5' DNA/RNA helicase activity;ATP binding;ATP hydrolysis activity;DNA binding;DNA helicase activity;DNA replication origin binding;chromatin binding;four-way junction helicase activity;nucleotide binding;single-stranded 3'-5' DNA helicase activity;single-stranded DNA bi,GO:0006260;GO:0006270;GO:0006271;GO:0006268;GO:0000727;GO:1902975;GO:1905775;GO:0033260;GO:0006267;GO:0006279;GO:0034214;GO:0048478,DNA replication;DNA replication initiation;DNA strand elongation involved in DNA replication;DNA unwinding involved in DNA replication;double-strand break repair via break-induced replication;mitotic DNA replication initiation;negative regulation of DNA helicase activity;nuclear DNA replication;pre-,N/A,N/A,N/A,N/A,N/A,N/A,3.6.4.12 (DNA helicase),3.6.4.12 (DNA helicase);5.3.4.1 (Protein disulfide-isomerase),,,,,,,10,14,12,36
B9J08_003876,B9J08_003876-t37_1,hypothetical protein,GO:0000178;GO:0000176;GO:1990251;GO:0005730;GO:0005654;GO:0005634,exosome (RNase complex);nuclear exosome (RNase complex);nuclear exosome focus;nucleolus;nucleoplasm;nucleus,GO:0008408;GO:0000175;GO:0003824;GO:0004532;GO:0003676;GO:0000166;GO:0042134,3'-5' exonuclease activity;3'-5'-exoribonuclease activity;catalytic activity;exoribonuclease activity;nucleic acid binding;nucleotide binding;rRNA primary transcript binding,GO:0006396;GO:0034473;GO:0034475;GO:0034476;GO:0044237;GO:0000467;GO:0071044;GO:0110064;GO:0071028;GO:0071039;GO:0071040;GO:0071042;GO:0071046;GO:0071035;GO:0071037;GO:0071036;GO:0071038;GO:0071033;GO:0071049;GO:0033621;GO:0006139;GO:0071051;GO:0000973,"RNA processing;U1 snRNA 3'-end processing;U4 snRNA 3'-end processing;U5 snRNA 3'-end processing;cellular metabolic process;exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);histone mRNA catabolic process;lncRNA catabolic ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.13.- (Exoribonucleases producing 5'-phosphomonoesters.);3.1.13.5 (Ribonuclease D);3.1.26.3 (Ribonuclease III),,,,,,,6,7,23,36
B9J08_002838,B9J08_002838-t37_1,hypothetical protein,GO:0044697;GO:0120155;GO:0030479;GO:0098753;GO:0005938;GO:0032153;GO:0005935;GO:0000142;GO:0000144;GO:0005737;GO:0043332;GO:0071341;GO:0032178;GO:0110085;GO:0120104;GO:0005886;GO:0030427,HICS complex;MIH complex;actin cortical patch;anchored component of the cytoplasmic side of the plasma membrane;cell cortex;cell division site;cellular bud neck;cellular bud neck contractile ring;cellular bud neck septin ring;cytoplasm;mating projection tip;medial cortical node;medial membrane band;,GO:0047834;GO:0008092;GO:0106006;GO:0032038;GO:0005543;GO:0005515;GO:0044877,D-threo-aldose 1-dehydrogenase activity;cytoskeletal protein binding;cytoskeletal protein-membrane anchor activity;myosin II heavy chain binding;phospholipid binding;protein binding;protein-containing complex binding,GO:0072583;GO:1903475;GO:1902406;GO:0000281;GO:0090339;GO:0140281;GO:0031671;GO:0072741;GO:1903476;GO:1904498;GO:1903471,clathrin-dependent endocytosis;mitotic actomyosin contractile ring assembly;mitotic actomyosin contractile ring maintenance;mitotic cytokinesis;negative regulation of formin-nucleated actin cable assembly;positive regulation of mitotic division septum assembly;primary cell septum biogenesis;protein ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,17,7,11,35
B9J08_004585,B9J08_004585-t37_1,hypothetical protein,GO:0016593;GO:0005666;GO:0005634;GO:0035327,Cdc73/Paf1 complex;RNA polymerase III complex;nucleus;transcriptionally active chromatin,GO:1990269;GO:0000993;GO:0003682,RNA polymerase II C-terminal domain phosphoserine binding;RNA polymerase II complex binding;chromatin binding,GO:0006353;GO:0070911;GO:0033696;GO:0043486;GO:0016570;GO:0031124;GO:0045910;GO:1901525;GO:0000122;GO:0031938;GO:2001255;GO:2001165;GO:2001209;GO:0032968;GO:0000183;GO:0006364;GO:2001173;GO:2001166;GO:0051569;GO:2001163;GO:0006357;GO:0000083;GO:0090262;GO:0031126;GO:0001015;GO:0006360;GO:0006383;GO:,"DNA-templated transcription, termination;global genome nucleotide-excision repair;heterochromatin boundary formation;histone exchange;histone modification;mRNA 3'-end processing;negative regulation of DNA recombination;negative regulation of mitophagy;negative regulation of transcription by RNA poly",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,4,3,28,35
B9J08_001644,B9J08_001644-t37_1,hypothetical protein,GO:0005662;GO:0000781;GO:0000794;GO:0005737;GO:0005829;GO:0005634;GO:0090734;GO:0035861,"DNA replication factor A complex;chromosome, telomeric region;condensed nuclear chromosome;cytoplasm;cytosol;nucleus;site of DNA damage;site of double-strand break",GO:0003677;GO:0003690;GO:0046872;GO:0003676;GO:0043565;GO:0003697,DNA binding;double-stranded DNA binding;metal ion binding;nucleic acid binding;sequence-specific DNA binding;single-stranded DNA binding,GO:0006310;GO:0006281;GO:0006260;GO:0006265;GO:0006268;GO:0000724;GO:0045184;GO:0030491;GO:1902969;GO:0006312;GO:0106112;GO:0006289;GO:0032212;GO:0006279;GO:0016567;GO:0007131;GO:0000723;GO:0000722;GO:0007004;GO:0010833,DNA recombination;DNA repair;DNA replication;DNA topological change;DNA unwinding involved in DNA replication;double-strand break repair via homologous recombination;establishment of protein localization;heteroduplex formation;mitotic DNA replication;mitotic recombination;negative regulation of mito,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,8,6,20,34
B9J08_002608,B9J08_002608-t37_1,hypothetical protein,GO:0030479;GO:0005884;GO:0032432;GO:1990819;GO:0005826;GO:0032153;GO:0000142;GO:0070648;GO:0001411;GO:0043332;GO:0110085,actin cortical patch;actin filament;actin filament bundle;actin fusion focus;actomyosin contractile ring;cell division site;cellular bud neck contractile ring;formin-nucleated actin cable;hyphal tip;mating projection tip;mitotic actomyosin contractile ring,GO:0051015;GO:0003786,actin filament binding;actin lateral binding,GO:0051666;GO:0044396;GO:0051017;GO:0007015;GO:0090527;GO:0030447;GO:1903475;GO:1902404;GO:0000281;GO:0034316;GO:1904530;GO:0030835;GO:0030837;GO:1903919;GO:0120080;GO:0120081;GO:0032220;GO:1904618;GO:0110056;GO:0007124,actin cortical patch localization;actin cortical patch organization;actin filament bundle assembly;actin filament organization;actin filament reorganization;filamentous growth;mitotic actomyosin contractile ring assembly;mitotic actomyosin contractile ring contraction;mitotic cytokinesis;negative re,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,11,2,20,33
B9J08_000417,B9J08_000417-t37_1,hypothetical protein,GO:0120171;GO:0051285;GO:1902716;GO:0032153;GO:0051286;GO:0005935;GO:0005934;GO:0032154;GO:0090726;GO:0005737;GO:0000935;GO:0000131;GO:0043332;GO:0072686;GO:0005634;GO:0030427,Cdc24p-Far1p-Gbetagamma complex;cell cortex of cell tip;cell cortex of growing cell tip;cell division site;cell tip;cellular bud neck;cellular bud tip;cleavage furrow;cortical dynamic polarity patch;cytoplasm;division septum;incipient cellular bud site;mating projection tip;mitotic spindle;nucleus;s,GO:0005085;GO:0005515,guanyl-nucleotide exchange factor activity;protein binding,GO:0000282;GO:0043577;GO:0000747;GO:0061246;GO:0071963;GO:1902917;GO:0072697;GO:1902432;GO:0035023;GO:1901891;GO:0032955;GO:0030100;GO:0007096;GO:0060236;GO:0031106,cellular bud site selection;chemotropism;conjugation with cellular fusion;establishment or maintenance of bipolar cell polarity regulating cell shape;establishment or maintenance of cell polarity regulating cell shape;positive regulation of mating projection assembly;protein localization to cell cor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,16,2,15,33
B9J08_002424,B9J08_002424-t37_1,hypothetical protein,GO:0071162;GO:0031261;GO:0042555;GO:0097373;GO:0005737;GO:0005656;GO:0005634;GO:0031298,CMG complex;DNA replication preinitiation complex;MCM complex;MCM core complex;cytoplasm;nuclear pre-replicative complex;nucleus;replication fork protection complex,GO:0043138;GO:0033679;GO:0005524;GO:0016887;GO:0003677;GO:0003678;GO:0003688;GO:1904931;GO:0003682;GO:0009378;GO:1990518;GO:0003697;GO:0017116;GO:0003727,3'-5' DNA helicase activity;3'-5' DNA/RNA helicase activity;ATP binding;ATP hydrolysis activity;DNA binding;DNA helicase activity;DNA replication origin binding;MCM complex binding;chromatin binding;four-way junction helicase activity;single-stranded 3'-5' DNA helicase activity;single-stranded DNA b,GO:0006260;GO:0006270;GO:0006271;GO:0006268;GO:0007049;GO:0006348;GO:0000727;GO:0033260;GO:0006267;GO:0030466,DNA replication;DNA replication initiation;DNA strand elongation involved in DNA replication;DNA unwinding involved in DNA replication;cell cycle;chromatin silencing at telomere;double-strand break repair via break-induced replication;nuclear DNA replication;pre-replicative complex assembly involved,N/A,N/A,N/A,N/A,N/A,N/A,3.6.4.12 (DNA helicase),3.6.4.12 (DNA helicase);6.6.1.1 (Magnesium chelatase),,,,,,,8,14,10,32
