Review_Category,Protein,ProtNLM_Top1,ProtNLM_Top1_Score,Beam_Exact_Lexical_Coherence,Beam_Unique_Normalised_Labels,Beam_Top_Label_Repetition_Count,Ortholog count,Paralog count,Protein Length,ProtNLM_Top1_Generic,Suspicious_Output_Reason,ProtNLM_Top10
high score + high lexical coherence,B9J08_002552,F-box domain-containing protein,0.9264463992180944,0.2,9,2,11,0,322,False,,F-box domain-containing protein [0.9264] | F-box domain protein [0.0065] | Hypothetical protein [0.0040] | F-box domain containing protein [0.0034] | (pine wood nematode) hypothetical protein [0.0032] | F-box domain [0.0029] | FBA_2 domain-containing protein [0.0027] | FTH domain-containing protein [0.0025] | Cyclin-like F-box [0.0024] | FBD domain-containing protein [0.0011]
high score + high lexical coherence,B9J08_002204,Topoisomerase I damage affected protein 11,0.9087093148450928,0.3,8,3,16,0,351,False,,"Topoisomerase I damage affected protein 11 [0.9087] | Topoisomerase 1-associated factor 1 [0.0159] | Topoisomerase i damage affected protein 11 [0.0107] | Topoisomerase I damage affected protein 11-like [0.0022] | Topoisomerase II-associated protein PAT1 [0.0018] | Topoisomerase I damage affected-like protein [0.0011] | Topoisomerase I damage affected protein 11, [0.0010] | Topoisomerase I damage affected protein 8 [0.0009] | Topoisomerase IB [0.0007] | Topoisomerase II [0.0007]"
high score + high lexical coherence,B9J08_002968,MARVEL domain-containing protein,0.8800758666034663,0.3,8,3,9,0,228,False,,MARVEL domain-containing protein [0.8801] | Membrane-associating domain-containing protein [0.0162] | Membrane-associating domain protein [0.0047] | Integral membrane protein [0.0040] | MARVEL domain containing protein [0.0039] | Marvel domain-containing protein [0.0036] | MARVEL-like domain protein [0.0034] | Membrane-associating domain-domain-containing protein [0.0034] | Synaptophysin / synaptoporin [0.0021] | Membrane-associating domain family protein [0.0018]
high score + high lexical coherence,B9J08_005333,Hypothetical protein,0.8662985964655129,0.2,9,2,19,0,99,True,,Hypothetical protein [0.8663] | Secreted protein [0.0292] | (pine wood nematode) hypothetical protein [0.0051] | Sec-independent protein translocase protein TatA [0.0035] | Sec translocon accessory complex subunit YajC [0.0032] | Protein TolA [0.0030] | Hypothetical salivary protein [0.0018] | Hypothetical membrane protein [0.0017] | Secretory carrier membrane protein [0.0012] | Hypothetical-protein [0.0011]
high score + high lexical coherence,B9J08_004442,Seipin,0.8481737654276187,0.2,9,2,23,0,282,False,,"Seipin [0.8482] | Hypothetical protein [0.0280] | Transmembrane protein 231 [0.0264] | (pine wood nematode) hypothetical protein [0.0044] | Hypothetical_protein [0.0043] | Adipose-regulatory protein, Seipin [0.0024] | Tubulin polyglutamylase complex subunit 2 [0.0016] | Adipose-regulatory protein [0.0015] | Cell cycle control protein [0.0015] | Transmembrane protein [0.0015]"
high score + low lexical coherence,B9J08_001970,LisH domain-containing protein,0.9612094350853858,0.1,10,1,7,0,395,False,,LisH domain-containing protein [0.9612] | LisH protein [0.0026] | Transcriptional activator FLO8 [0.0019] | Related to LisH domain-containing protein [0.0018] | Transcriptional regulatory protein [0.0013] | Transcription activator MSS11 [0.0011] | Transcription factor [0.0010] | LisH [0.0008] | Related to transcription activator MSS11 [0.0006] | Transcriptional regulator [0.0005]
high score + low lexical coherence,B9J08_000014,PWI domain-containing protein,0.8315791122355279,0.1,10,1,21,0,590,False,,"PWI domain-containing protein [0.8316] | RING-type domain-containing protein [0.0068] | RNA-binding protein 25-like [0.0041] | Trichohyalin-like [0.0041] | Hypothetical protein [0.0031] | Stress response protein NST1 [0.0030] | RNA-binding protein 25 [0.0026] | Small-subunit processome, Utp14 [0.0026] | Small-subunit processome [0.0019] | Similar to [0.0019]"
high score + low lexical coherence,B9J08_000259,HIG1 domain-containing protein,0.820527259083487,0.1,10,1,347,1,188,False,,"HIG1 domain-containing protein [0.8205] | Respiratory supercomplex factor 2, mitochondrial [0.0133] | Respiratory supercomplex factor 1, mitochondrial [0.0111] | Respiratory supercomplex factor 2-like protein [0.0064] | Hypothetical_protein [0.0050] | Respiratory supercomplex factor 2 [0.0021] | Hypoxia induced protein conserved region-domain-containing protein [0.0020] | HIG1 domain family member 1A, mitochondrial [0.0014] | WGS project CCBQ000000000 data, contig 00015 [0.0014] | Hypoxia induced protein conserved region [0.0012]"
high score + low lexical coherence,B9J08_002613,BHLH domain-containing protein,0.803605194530258,0.1,10,1,21,0,427,False,,"BHLH domain-containing protein [0.8036] | Transcriptional regulator [0.0187] | BZIP domain-containing protein [0.0046] | WGS project CCBQ000000000 data, contig 00015 [0.0033] | Retrograde regulation protein 3 [0.0031] | WGS project CCBQ000000000 data, contig 00106 [0.0030] | Helix-loop-helix DNA-binding domain-containing transcription factor [0.0019] | WGS project CCBQ000000000 data, contig 00016 [0.0017] | WGS project CCBQ000000000 data, contig 00107 [0.0016] | Hlh transcription factor [0.0015]"
high score + low lexical coherence,B9J08_004036,Arrestin_N domain-containing protein,0.6763293386141447,0.1,10,1,8,0,421,False,,Arrestin_N domain-containing protein [0.6763] | Arrestin_C domain-containing protein [0.0472] | PAZ domain-containing protein [0.0203] | Bul1_C domain-containing protein [0.0128] | Arrestin [0.0089] | DUF3668 domain-containing protein [0.0085] | Arrestin domain-containing protein 2 [0.0065] | Arrestin (Or S-antigen) [0.0053] | DUF1785 domain-containing protein [0.0048] | Arrestin domain-containing protein [0.0038]
