Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Molecular Weight	Chromosome	PFam ID	Protein Length	Ortholog count	Paralog count	PFam Description	CDD ID	Gene3D ID	Hamap ID	NCBIfam ID	PANTHER ID	PRINTS ID	SFLD ID	CDD Description	Gene3D Description	Hamap Description	NCBIfam Description	PANTHER Description	PRINTS Description	SFLD Description	PirSF ID	PirSF Description	Prositefamilies ID	Prositefamilies Description	Smart ID	Smart Description	Superfamily ID	Superfamily Description	InterPro ID	InterPro Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
B9J08_000001	B9J08_000001-t37_1	Candida auris strain B8441	PEKT02000001:3,362..4,522(+)	hypothetical protein	44343	Not Assigned	N/A	386	124	2	N/A	cd22952	G3DSA:2.60.40.640	N/A	N/A	N/A	N/A	N/A	ART10-like	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-, IPR014752	ART10-like	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000002	B9J08_000002-t37_1	Candida auris strain B8441	PEKT02000001:6,653..8,581(+)	Major Facilitator Superfamily | domain-containing protein	71484	Not Assigned	PF07690	642	1864	17	Major Facilitator Superfamily	N/A	G3DSA:1.20.1250.20	N/A	N/A	N/A	N/A	N/A	N/A	MFS general substrate transporter like domains	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF103473	MFS general substrate transporter	IPR011701, IPR036259	MFS general substrate transporter like domains	GO:0005886;GO:0005886	plasma membrane;plasma membrane	GO:0020037;GO:0020037;GO:0015232;GO:0015232;GO:0022857	heme binding;heme binding;heme transmembrane transporter activity;heme transmembrane transporter activity;transmembrane transporter activity	GO:1904334;GO:1904334;GO:0055085	heme import across plasma membrane;heme import across plasma membrane;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000003	B9J08_000003-t37_1	Candida auris strain B8441	PEKT02000001:9,601..11,205(-)	ZIP Zinc transporter | domain-containing protein	56988	Not Assigned	PF02535	534	2374	2	ZIP Zinc transporter	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR003689	ZIP Zinc transporter	GO:0016020;GO:0016020;GO:0016020	membrane;membrane;membrane	GO:0046873;GO:0046873;GO:0046873	metal ion transmembrane transporter activity;metal ion transmembrane transporter activity;metal ion transmembrane transporter activity	GO:0030001;GO:0030001;GO:0030001;GO:0055085;GO:0055085;GO:0055085	metal ion transport;metal ion transport;metal ion transport;transmembrane transport;transmembrane transport;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.3.1.74 (2-alkenal reductase [NAD(P)(+)])
B9J08_000004	B9J08_000004-t37_1	Candida auris strain B8441	PEKT02000001:11,986..12,660(+)	hypothetical protein	21330	Not Assigned	N/A	224	11	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	N/A	N/A	N/A	N/A	-	Prokaryotic membrane lipoprotein lipid attachment site profile.	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000005	B9J08_000005-t37_1	Candida auris strain B8441	PEKT02000001:13,716..14,324(+)	hypothetical protein	20324	Not Assigned	N/A	202	8	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000006	B9J08_000006-t37_1	Candida auris strain B8441	PEKT02000001:14,507..15,319(+)	hypothetical protein	31638	Not Assigned	N/A	270	10	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000007	B9J08_000007-t37_1	Candida auris strain B8441	PEKT02000001:15,867..17,213(-)	CRAL/TRIO domain | domain-containing protein	51676	Not Assigned	PF00650	448	3197	6	CRAL/TRIO domain	cd00170	G3DSA:3.40.525.10	N/A	N/A	N/A	N/A	N/A	SEC14	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50191	CRAL-TRIO lipid binding domain profile.	SM00516	sec14_4	SSF52087	CRAL/TRIO domain	IPR001251, IPR036865	sec14_4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000008	B9J08_000008-t37_1	Candida auris strain B8441	PEKT02000001:18,627..20,405(-)	Ferric reductase like transmembrane component | FAD-binding domain | Ferric reductase NAD binding domain | domain-containing protein	67710	Not Assigned	PF01794, PF08022, PF08030	592	3034	4	Ferric reductase NAD binding domain	cd06186	G3DSA:2.40.30.10, G3DSA:3.40.50.80	N/A	N/A	N/A	N/A	SFLDG01168, SFLDS00052	NOX_Duox_like_FAD_NADP	Translation factors	N/A	N/A	N/A	N/A	Ferric reductase subgroup (FRE)	N/A	N/A	PS51384	Ferredoxin reductase-type FAD binding domain profile.	N/A	N/A	SSF52343, SSF63380	Riboflavin synthase domain-like	-, IPR013112, IPR013121, IPR013130, IPR017927, IPR017938, IPR039261	Translation factors	N/A	N/A	GO:0016491;GO:0016491;GO:0016491	oxidoreductase activity;oxidoreductase activity;oxidoreductase activity	GO:0006811	monoatomic ion transport	N/A	N/A	N/A	N/A	N/A	N/A	1.16.1.9 (ferric-chelate reductase (NADPH))	N/A
B9J08_000009	B9J08_000009-t37_1	Candida auris strain B8441	PEKT02000001:20,879..22,255(-)	Glycosyl transferase family 21 | domain-containing protein	51881	Not Assigned	PF13506	458	386	0	Glycosyl transferase family 21	cd02520	G3DSA:3.90.550.10	N/A	N/A	N/A	N/A	N/A	Glucosylceramide_synthase	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF53448	Nucleotide-diphospho-sugar transferases	-, IPR025993, IPR029044	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	N/A	N/A	GO:0008120;GO:0016757;GO:0102769	ceramide glucosyltransferase activity;glycosyltransferase activity;obsolete dihydroceramide glucosyltransferase activity	GO:0006665	sphingolipid metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.80 (ceramide glucosyltransferase)	N/A
B9J08_000010	B9J08_000010-t37_1	Candida auris strain B8441	PEKT02000001:24,436..26,298(+)	Choline/Carnitine o-acyltransferase | domain-containing protein	70098	Not Assigned	PF00755	620	1738	2	Choline/Carnitine o-acyltransferase	N/A	G3DSA:3.30.559.10, G3DSA:3.30.559.70	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF52777	CoA-dependent acyltransferases	-, IPR023213, IPR039551, IPR042231	CoA-dependent acyltransferases	GO:0005739;GO:0005739;GO:0005777;GO:0005777	mitochondrion;mitochondrion;peroxisome;peroxisome	GO:0016746;GO:0004092;GO:0004092	acyltransferase activity;carnitine O-acetyltransferase activity;carnitine O-acetyltransferase activity	GO:0045733;GO:0045733;GO:0015976;GO:0015976;GO:0009437;GO:0009437;GO:0009062;GO:0009062	acetate catabolic process;acetate catabolic process;carbon utilization;carbon utilization;carnitine metabolic process;carnitine metabolic process;fatty acid catabolic process;fatty acid catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.7 (carnitine O-acetyltransferase)	N/A
