VPDB Gene ID,CGD ID,CGD Annotation
B9J08_001530,CAL0000220439,Uncharacterized ORF; Ortholog(s) have dicarboxylic acid transmembrane transporter activity and role in amino acid transport
B9J08_001531,CAL0000221745,Uncharacterized ORF; Protein of unknown function
B9J08_001532,CAL0000223945,Uncharacterized ORF; Protein of unknown function
B9J08_001533,CAL0000225327,"Uncharacterized ORF; Has domain(s) with predicted oxidoreductase activity, oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity"
B9J08_001534,CAL0000227141,"Uncharacterized ORF; Putative aspartic-type endopeptidase; appears to play a minor role, if any; null mutant shows normal secretion of aspartyl protease and normal formation of biofilms and hyphae"
B9J08_001535,CAL0000217097,"Uncharacterized ORF; Has domain(s) with predicted FMN binding, oxidoreductase activity"
B9J08_001536,CAL0000218489,Uncharacterized ORF; Protein of unknown function
B9J08_001537,CAL0000216873,Uncharacterized ORF; Protein of unknown function
B9J08_001538,CAL0000218619,Uncharacterized ORF; Protein of unknown function
B9J08_001539,CAL0000220305,"Uncharacterized ORF; Has domain(s) with predicted DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in DNA-templated transcription, regulation of DNA-templated transcription"
B9J08_001540,CAL0000223031,Uncharacterized ORF; Has domain(s) with predicted lyase activity
B9J08_001541,CAL0000228009,Uncharacterized ORF; Protein of unknown function
B9J08_001542,CAL0000226431,Uncharacterized ORF; Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_001543,CAL0000217813,Uncharacterized ORF; Ortholog(s) have diphthine synthase activity and role in protein histidyl modification to diphthamide
B9J08_001544,CAL0000216055,"Uncharacterized ORF; Ortholog(s) have role in GPI anchor biosynthetic process, intracellular manganese ion homeostasis and endoplasmic reticulum, fungal-type vacuole membrane localization"
B9J08_001545,CAL0000217839,"Uncharacterized ORF; Ortholog(s) have cytoplasm, nucleus localization"
B9J08_001546,CAL0000219369,"Verified ORF; Primary aspartic-type endopeptidase; null mutant shows reduced secretion of aspartyl protease, reduced biofilm and hyphae formation, and reduced virulence in a mouse systemic infection model"
