Gene ID,source_id,Organism,Genomic Location (Gene),Product Description,Molecular Weight,Chromosome,PFam ID,Protein Length,Ortholog count,Paralog count,PFam Description,CDD ID,Gene3D ID,Hamap ID,NCBIfam ID,PANTHER ID,PRINTS ID,SFLD ID,CDD Description,Gene3D Description,Hamap Description,NCBIfam Description,PANTHER Description,PRINTS Description,SFLD Description,PirSF ID,PirSF Description,Prositefamilies ID,Prositefamilies Description,Smart ID,Smart Description,Superfamily ID,Superfamily Description,InterPro ID,InterPro Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,Has_PFam,Has_CDD,Has_Gene3D,Has_Hamap,Has_NCBIfam,Has_PANTHER,Has_PRINTS,Has_SFLD,Has_PirSF,Has_Prosite,Has_SMART,Has_Superfamily,Has_InterPro,Has_GO_Component,Has_GO_Function,Has_GO_Process,Has_Any_GO,Has_Any_Conventional_Evidence,Annotation_Poor
B9J08_000001,B9J08_000001-t37_1,Candida auris strain B8441,"PEKT02000001:3,362..4,522(+)",hypothetical protein,44343,Not Assigned,,386,124,2,,cd22952,G3DSA:2.60.40.640,,,,,,ART10-like,-,,,,,,,,,,,,,,"-, IPR014752",ART10-like,,,,,,,,,,,,,,,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
B9J08_000004,B9J08_000004-t37_1,Candida auris strain B8441,"PEKT02000001:11,986..12,660(+)",hypothetical protein,21330,Not Assigned,,224,11,0,,,,,,,,,,,,,,,,,,PS51257,Prokaryotic membrane lipoprotein lipid attachment site profile.,,,,,-,Prokaryotic membrane lipoprotein lipid attachment site profile.,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
B9J08_000029,B9J08_000029-t37_1,Candida auris strain B8441,"PEKT02000001:70,429..71,274(+)",hypothetical protein,32386,Not Assigned,,281,3296,7,,cd20557,G3DSA:1.10.472.10,,,,,,CYCLIN_ScPCL1-like,-,,,,,,,,,,,,SSF47954,Cyclin-like,"-, IPR036915",CYCLIN_ScPCL1-like,GO:0000307;GO:0000307;GO:0005634;GO:0005634,cyclin-dependent protein kinase holoenzyme complex;cyclin-dependent protein kinase holoenzyme complex;nucleus;nucleus,GO:0016538;GO:0016538;GO:0019901;GO:0019901,cyclin-dependent protein serine/threonine kinase regulator activity;cyclin-dependent protein serine/threonine kinase regulator activity;protein kinase binding;protein kinase binding,GO:0043433;GO:0043433;GO:0016242;GO:0016242;GO:0000079;GO:0000079;GO:0031647;GO:0031647,negative regulation of DNA-binding transcription factor activity;negative regulation of DNA-binding transcription factor activity;negative regulation of macroautophagy;negative regulation of macroautophagy;regulation of cyclin-dependent protein serine/threonine kinase activity;regulation of cyclin-d,,,,,,,,,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
B9J08_000035,B9J08_000035-t37_1,Candida auris strain B8441,"PEKT02000001:85,711..86,541(+)",hypothetical protein,31341,Not Assigned,,276,315,2,,,,,,,,,,,,,,,,,,,,,,SSF56281,Metallo-hydrolase/oxidoreductase,IPR036866,Metallo-hydrolase/oxidoreductase,,,GO:0016787;GO:0016787,hydrolase activity;hydrolase activity,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False
B9J08_000036,B9J08_000036-t37_1,Candida auris strain B8441,"PEKT02000001:87,190..88,029(+)",hypothetical protein,31827,Not Assigned,,279,315,2,,,,,,,,,,,,,,,,,,,,,,SSF56281,Metallo-hydrolase/oxidoreductase,IPR036866,Metallo-hydrolase/oxidoreductase,,,GO:0016787;GO:0016787,hydrolase activity;hydrolase activity,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False
B9J08_000081,B9J08_000081-t37_1,Candida auris strain B8441,"PEKT02000001:173,852..176,962(-)",hypothetical protein,115573,Not Assigned,,1036,513,1,,,G3DSA:3.30.70.330,,,,,,,-,,,,,,,,PS50102,Eukaryotic RNA Recognition Motif (RRM) profile.,SM00360,rrm1_1,SSF54928,"RNA-binding domain, RBD","IPR000504, IPR012677, IPR035979",rrm1_1,,,GO:0003676;GO:0000166;GO:0000166;GO:0003723;GO:0003723;GO:0003723,nucleic acid binding;nucleotide binding;nucleotide binding;RNA binding;RNA binding;RNA binding,,,,,,,,,,,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True,False
B9J08_000083,B9J08_000083-t37_1,Candida auris strain B8441,"PEKT02000001:180,529..180,888(-)",hypothetical protein,13721,Not Assigned,,119,4,0,,,G3DSA:3.30.160.60,,,,,,,Classic Zinc Finger,,,,,,,,,,,,SSF57667,beta-beta-alpha zinc fingers,"-, IPR036236",Classic Zinc Finger,GO:0000243;GO:0000243;GO:0005685;GO:0005685;GO:0071004;GO:0071004,commitment complex;commitment complex;U1 snRNP;U1 snRNP;U2-type prespliceosome;U2-type prespliceosome,GO:0003729;GO:0003729;GO:0030627;GO:0030627,mRNA binding;mRNA binding;pre-mRNA 5'-splice site binding;pre-mRNA 5'-splice site binding,GO:0000395;GO:0000395;GO:0000398;GO:0000398;GO:1905216;GO:1905216,"mRNA 5'-splice site recognition;mRNA 5'-splice site recognition;mRNA splicing, via spliceosome;mRNA splicing, via spliceosome;positive regulation of RNA binding;positive regulation of RNA binding",,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
B9J08_000089,B9J08_000089-t37_1,Candida auris strain B8441,"PEKT02000001:189,022..190,035(-)",hypothetical protein,38295,Not Assigned,,337,350,0,,,,,,,,,,,,,,,,,,,,,,SSF144091,Rhomboid-like,IPR035952,Rhomboid-like,GO:0044695;GO:0044695,Dsc E3 ubiquitin ligase complex;Dsc E3 ubiquitin ligase complex,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False
B9J08_000104,B9J08_000104-t37_1,Candida auris strain B8441,"PEKT02000001:229,900..231,201(+)",hypothetical protein,50069,Not Assigned,,433,25,0,,,G3DSA:3.80.10.10,,,,,,,Ribonuclease Inhibitor,,,,,,,,,,,,SSF52047,RNI-like,"-, IPR032675",RNI-like,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
B9J08_000118,B9J08_000118-t37_1,Candida auris strain B8441,"PEKT02000001:257,110..259,038(-)",hypothetical protein,72292,Not Assigned,,642,317,0,,cd13394,G3DSA:1.25.10.10,,,,,,Syo1_like,-,,,,,,,,,,,,SSF48371,ARM repeat,"-, IPR011989, IPR016024",Syo1_like,,,GO:0051082;GO:0051082,unfolded protein binding;unfolded protein binding,GO:0006606;GO:0006606;GO:0042273;GO:0042273,protein import into nucleus;protein import into nucleus;ribosomal large subunit biogenesis;ribosomal large subunit biogenesis,,,,,,,,,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False
B9J08_000151,B9J08_000151-t37_1,Candida auris strain B8441,"PEKT02000001:323,976..325,889(+)",hypothetical protein,73276,Not Assigned,,637,23,0,,,G3DSA:3.80.10.10,,,,,,,Ribonuclease Inhibitor,,,,,,,,,,,,SSF52058,L domain-like,"-, IPR032675",Ribonuclease Inhibitor,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
