Gene ID,Threshold,Namespace,ProtNote Term Count,InterPro2GO Term Count,Exact Match Count,Has ProtNote Prediction,Has Exact Match,ProtNote GO Terms,InterPro2GO GO Terms,Exact Matching GO Terms
B9J08_000002,0.5,CC,2,1,1,True,True,GO:0005886;GO:0016020,GO:0005886,GO:0005886
B9J08_000003,0.5,CC,0,1,0,False,False,,GO:0016020,
B9J08_000010,0.5,CC,0,2,0,False,False,,GO:0005739;GO:0005777,
B9J08_000011,0.5,CC,0,4,0,False,False,,GO:0000407;GO:0005774;GO:0019898;GO:0034045,
B9J08_000012,0.5,CC,0,1,0,False,False,,GO:0002189,
B9J08_000015,0.5,CC,0,1,0,False,False,,GO:0005634,
B9J08_000016,0.5,CC,2,2,2,True,True,GO:0005886;GO:0016020,GO:0005886;GO:0016020,GO:0005886;GO:0016020
B9J08_000017,0.5,CC,2,1,0,True,False,GO:0005737;GO:0016020,GO:0005811,
B9J08_000018,0.5,CC,0,6,0,False,False,,GO:0000139;GO:0005768;GO:0005770;GO:0005794;GO:0005802;GO:0016020,
B9J08_000020,0.5,CC,0,4,0,False,False,,GO:0005739;GO:0005754;GO:0042645;GO:0045259,
B9J08_000023,0.5,CC,0,5,0,False,False,,GO:0000328;GO:0005576;GO:0005771;GO:0030287;GO:0061957,
B9J08_000025,0.5,CC,0,1,0,False,False,,GO:0005634,
B9J08_000026,0.5,CC,0,2,0,False,False,,GO:0005634;GO:0005737,
B9J08_000028,0.5,CC,0,1,0,False,False,,GO:0031251,
B9J08_000029,0.5,CC,3,2,1,True,True,GO:0005634;GO:0043227;GO:0043231,GO:0000307;GO:0005634,GO:0005634
B9J08_000031,0.5,CC,1,4,1,True,True,GO:0005737,GO:0005634;GO:0005737;GO:0032153;GO:0032174,GO:0005737
B9J08_000032,0.5,CC,0,3,0,False,False,,GO:0005777;GO:0005778;GO:0016020,
B9J08_000034,0.5,CC,4,1,1,True,True,GO:0005743;GO:0016020;GO:0031090;GO:0031966,GO:0005743,GO:0005743
B9J08_000037,0.5,CC,0,2,0,False,False,,GO:0005739;GO:0005758,
B9J08_000038,0.5,CC,2,2,0,True,False,GO:0032991;GO:1990904,GO:0005762;GO:0005840,
B9J08_000039,0.5,CC,1,1,0,True,False,GO:0016020,GO:0030134,
B9J08_000042,0.5,CC,0,1,0,False,False,,GO:0042645,
B9J08_000044,0.5,CC,3,1,1,True,True,GO:0005634;GO:0043227;GO:0043231,GO:0005634,GO:0005634
B9J08_000045,0.5,CC,0,3,0,False,False,,GO:0005634;GO:0005880;GO:0008623,
B9J08_000046,0.5,CC,0,3,0,False,False,,GO:0005634;GO:0005737;GO:0005739,
B9J08_000047,0.5,CC,3,2,0,True,False,GO:0005774;GO:0016020;GO:0031090,GO:0005789;GO:0008250,
B9J08_000048,0.5,CC,3,1,1,True,True,GO:0005774;GO:0016020;GO:0031090,GO:0016020,GO:0016020
B9J08_000049,0.5,CC,0,2,0,False,False,,GO:0005576;GO:0005618,
B9J08_000050,0.5,CC,1,2,1,True,True,GO:0005576,GO:0005576;GO:0005618,GO:0005576
B9J08_000051,0.5,CC,0,2,0,False,False,,GO:0000262;GO:0042645,
B9J08_000053,0.5,CC,0,2,0,False,False,,GO:0005741;GO:0005742,
B9J08_000054,0.5,CC,0,1,0,False,False,,GO:0009277,
B9J08_000056,0.5,CC,3,4,0,True,False,GO:0000306;GO:0019898;GO:0097042,GO:0000329;GO:0005774;GO:0035859;GO:1990130,
B9J08_000057,0.5,CC,0,1,0,False,False,,GO:1903600,
B9J08_000058,0.5,CC,0,1,0,False,False,,GO:1903600,
B9J08_000059,0.5,CC,0,1,0,False,False,,GO:0005778,
B9J08_000060,0.5,CC,4,2,0,True,False,GO:0005737;GO:0005935;GO:0032991;GO:1990234,GO:0005622;GO:0005933,
B9J08_000061,0.5,CC,1,3,1,True,True,GO:0005730,GO:0005730;GO:0030686;GO:0030688,GO:0005730
B9J08_000062,0.5,CC,0,2,0,False,False,,GO:0005634;GO:0005730,
B9J08_000063,0.5,CC,0,4,0,False,False,,GO:0005634;GO:0005737;GO:0005839;GO:0019774,
B9J08_000064,0.5,CC,1,2,0,True,False,GO:0032991,GO:0005840;GO:0022625,
B9J08_000065,0.5,CC,1,1,0,True,False,GO:0032991,GO:0005634,
B9J08_000066,0.5,CC,0,2,0,False,False,,GO:0005634;GO:0005737,
B9J08_000067,0.5,CC,1,3,0,True,False,GO:0005737,GO:0005856;GO:0005884;GO:0030479,
B9J08_000071,0.5,CC,0,4,0,False,False,,GO:0009898;GO:0032126;GO:0036286;GO:0036362,
B9J08_000072,0.5,CC,1,1,1,True,True,GO:0016020,GO:0016020,GO:0016020
B9J08_000073,0.5,CC,4,2,2,True,True,GO:0005743;GO:0016020;GO:0031090;GO:0031966,GO:0005743;GO:0016020,GO:0005743;GO:0016020
B9J08_000074,0.5,CC,5,12,1,True,True,GO:0005829;GO:0030479;GO:0032153;GO:0043227;GO:0061645,GO:0000159;GO:0000775;GO:0000776;GO:0000935;GO:0005634;GO:0005737;GO:0005816;GO:0005935;GO:0032153;GO:0044732;GO:0072687;GO:0110085,GO:0032153
B9J08_000075,0.5,CC,0,1,0,False,False,,GO:0005737,
B9J08_000076,0.5,CC,0,1,0,False,False,,GO:0030479,
B9J08_000077,0.5,CC,1,2,0,True,False,GO:0032991,GO:0005730;GO:0030687,
B9J08_000078,0.5,CC,1,4,1,True,True,GO:0016020,GO:0005783;GO:0005886;GO:0016020;GO:0071944,GO:0016020
B9J08_000080,0.5,CC,2,1,0,True,False,GO:0016020;GO:0031090,GO:0005774,
B9J08_000082,0.5,CC,0,5,0,False,False,,GO:0005576;GO:0005622;GO:0005634;GO:0005737;GO:0016020,
B9J08_000083,0.5,CC,0,3,0,False,False,,GO:0000243;GO:0005685;GO:0071004,
B9J08_000084,0.5,CC,0,1,0,False,False,,GO:0000276,
B9J08_000087,0.5,CC,0,7,0,False,False,,GO:0005634;GO:0005656;GO:0005737;GO:0031261;GO:0031298;GO:0042555;GO:0071162,
B9J08_000088,0.5,CC,2,3,0,True,False,GO:0032991;GO:0043227,GO:0005737;GO:0005844;GO:0016272,
B9J08_000089,0.5,CC,5,1,0,True,False,GO:0000139;GO:0016020;GO:0031090;GO:0043227;GO:0043231,GO:0044695,
B9J08_000090,0.5,CC,1,2,0,True,False,GO:0032991,GO:0005840;GO:0022625,
B9J08_000091,0.5,CC,0,2,0,False,False,,GO:0005840;GO:0022627,
B9J08_000092,0.5,CC,2,10,1,True,True,GO:0005874;GO:0005875,GO:0000235;GO:0001411;GO:0005737;GO:0005816;GO:0005868;GO:0005874;GO:0005881;GO:0005938;GO:0030286;GO:0030428,GO:0005874
B9J08_000093,0.5,CC,3,1,1,True,True,GO:0005743;GO:0031090;GO:0031966,GO:0005743,GO:0005743
B9J08_000094,0.5,CC,0,1,0,False,False,,GO:0032389,
B9J08_000095,0.5,CC,3,1,1,True,True,GO:0005634;GO:0043227;GO:0043231,GO:0005634,GO:0005634
B9J08_000096,0.5,CC,3,1,1,True,True,GO:0005634;GO:0043227;GO:0043231,GO:0005634,GO:0005634
B9J08_000098,0.5,CC,0,3,0,False,False,,GO:0005769;GO:0005770;GO:0016020,
B9J08_000099,0.5,CC,0,1,0,False,False,,GO:0030288,
