Gene ID,source_id,Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,ProtNLM prediction,ProtNLM score,ProtNote GO predictions,GO2SUM summary,Validation category,Notes
B9J08_000001,B9J08_000001-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000004,B9J08_000004-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000005,B9J08_000005-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000006,B9J08_000006-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000007,B9J08_000007-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000014,B9J08_000014-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000019,B9J08_000019-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000021,B9J08_000021-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000022,B9J08_000022-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000024,B9J08_000024-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000030,B9J08_000030-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000040,B9J08_000040-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000043,B9J08_000043-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000052,B9J08_000052-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.1.1.2 (NADH:ubiquinone reductase (H(+)-translocating)),,,,,,
B9J08_000068,B9J08_000068-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000069,B9J08_000069-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000070,B9J08_000070-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000085,B9J08_000085-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000086,B9J08_000086-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000104,B9J08_000104-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000110,B9J08_000110-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000116,B9J08_000116-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000117,B9J08_000117-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000119,B9J08_000119-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000124,B9J08_000124-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000139,B9J08_000139-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000157,B9J08_000157-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000195,B9J08_000195-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.1.- (Carboxylic ester hydrolases.),,,,,,
B9J08_000197,B9J08_000197-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000205,B9J08_000205-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000210,B9J08_000210-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000221,B9J08_000221-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000246,B9J08_000246-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000249,B9J08_000249-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000266,B9J08_000266-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000267,B9J08_000267-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.1.- (Carboxylic ester hydrolases.),,,,,,
B9J08_000292,B9J08_000292-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000308,B9J08_000308-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000334,B9J08_000334-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000336,B9J08_000336-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000343,B9J08_000343-t37_1,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
