Gene ID,Threshold,GO ID,ProtNote Probability,ProtNote Rank,Description
B9J08_000002,0.5,GO:0022857,0.8234,11,transmembrane transporter activity
B9J08_000002,0.5,GO:0005886,0.7162,16,plasma membrane
B9J08_000002,0.5,GO:0055085,0.6847,19,transmembrane transport
B9J08_000003,0.5,GO:0030001,0.781,14,metal ion transport
B9J08_000008,0.5,GO:0016491,0.5859,14,oxidoreductase activity
B9J08_000009,0.5,GO:0016757,0.9658,9,"transferase activity, transferring glycosyl groups"
B9J08_000010,0.5,GO:0016746,0.7446,12,"transferase activity, transferring acyl groups"
B9J08_000011,0.5,GO:0006914,0.8522,9,autophagy
B9J08_000011,0.5,GO:0015031,0.7736,17,protein transport
B9J08_000012,0.5,GO:0006015,0.9984,2,5-phosphoribose 1-diphosphate biosynthetic process
B9J08_000013,0.5,GO:0004160,0.9933,12,dihydroxy-acid dehydratase activity
B9J08_000015,0.5,GO:0003824,0.9396,14,catalytic activity
B9J08_000015,0.5,GO:0019752,0.9083,17,carboxylic acid metabolic process
B9J08_000016,0.5,GO:0005886,0.673,10,plasma membrane
B9J08_000016,0.5,GO:0016020,0.6158,16,membrane
B9J08_000017,0.5,GO:0016788,0.8481,6,"hydrolase activity, acting on ester bonds"
B9J08_000018,0.5,GO:0000166,0.9923,10,nucleotide binding
B9J08_000018,0.5,GO:0005524,0.9898,15,ATP binding
B9J08_000023,0.5,GO:0004177,0.9603,13,aminopeptidase activity
B9J08_000026,0.5,GO:0005524,0.7936,13,ATP binding
B9J08_000027,0.5,GO:0016491,0.7803,4,oxidoreductase activity
B9J08_000027,0.5,GO:0008152,0.7276,7,metabolic process
B9J08_000028,0.5,GO:0005524,0.9922,14,ATP binding
B9J08_000029,0.5,GO:0005634,0.6722,9,nucleus
B9J08_000031,0.5,GO:0006334,0.8501,17,nucleosome assembly
B9J08_000031,0.5,GO:0005737,0.7427,18,cytoplasm
B9J08_000032,0.5,GO:0000166,0.9813,2,nucleotide binding
B9J08_000032,0.5,GO:0005524,0.9724,11,ATP binding
B9J08_000033,0.5,GO:0022857,0.9296,8,transmembrane transporter activity
B9J08_000034,0.5,GO:0005743,0.8586,15,mitochondrial inner membrane
B9J08_000037,0.5,GO:0046872,0.8826,9,metal ion binding
B9J08_000037,0.5,GO:0006508,0.8537,15,proteolysis
B9J08_000044,0.5,GO:0005634,0.7943,20,nucleus
B9J08_000045,0.5,GO:0005524,0.9887,13,ATP binding
B9J08_000045,0.5,GO:0016818,0.9868,15,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
B9J08_000048,0.5,GO:0016020,0.7166,13,membrane
B9J08_000050,0.5,GO:0005576,0.6136,6,extracellular region
B9J08_000054,0.5,GO:0004553,0.886,15,"hydrolase activity, hydrolyzing O-glycosyl compounds"
B9J08_000054,0.5,GO:0005975,0.8427,19,carbohydrate metabolic process
B9J08_000055,0.5,GO:0006520,0.9928,11,cellular amino acid metabolic process
B9J08_000058,0.5,GO:0036381,0.9975,15,pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity
B9J08_000061,0.5,GO:0005730,0.7849,17,nucleolus
B9J08_000063,0.5,GO:0004298,0.9567,16,threonine-type endopeptidase activity
B9J08_000066,0.5,GO:0046872,0.9759,5,metal ion binding
B9J08_000072,0.5,GO:0016020,0.5071,8,membrane
B9J08_000073,0.5,GO:0016020,0.7504,11,membrane
B9J08_000073,0.5,GO:0005743,0.671,16,mitochondrial inner membrane
B9J08_000074,0.5,GO:0032153,0.5685,20,cell division site
B9J08_000078,0.5,GO:0016020,0.5048,11,membrane
B9J08_000081,0.5,GO:0003676,0.676,17,nucleic acid binding
B9J08_000082,0.5,GO:0005525,0.9871,5,GTP binding
B9J08_000091,0.5,GO:0006412,0.9752,20,translation
B9J08_000092,0.5,GO:0005874,0.9975,5,microtubule
B9J08_000093,0.5,GO:0005743,0.8887,12,mitochondrial inner membrane
B9J08_000094,0.5,GO:0005524,0.9878,16,ATP binding
B9J08_000095,0.5,GO:0008270,0.9547,16,zinc ion binding
B9J08_000095,0.5,GO:0005634,0.9177,20,nucleus
B9J08_000096,0.5,GO:0005634,0.8564,12,nucleus
B9J08_000098,0.5,GO:0005525,0.9895,15,GTP binding
B9J08_000100,0.5,GO:0004725,0.9118,7,protein tyrosine phosphatase activity
B9J08_000102,0.5,GO:0005524,0.9892,16,ATP binding
B9J08_000103,0.5,GO:0003824,0.9767,4,catalytic activity
B9J08_000103,0.5,GO:0005524,0.9696,10,ATP binding
B9J08_000108,0.5,GO:0004722,0.6089,17,protein serine/threonine phosphatase activity
B9J08_000109,0.5,GO:0005524,0.9687,14,ATP binding
B9J08_000111,0.5,GO:0005524,0.9954,6,ATP binding
B9J08_000111,0.5,GO:0000166,0.993,9,nucleotide binding
