Example_Category,Category_Explanation,Category_Source_Count,Protein,Output_Type,Description,Word_Count,Exact_Duplicate_Count,Review_Reasons,Review_Flag,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top1_Generic,ProtNote_Top_GO_Description,ProtNote_Top_Probability,ProtNote_Specific_Count,ProtNote_HighConf_Specific_Count,Ortholog count,Protein Length
obsolete / placeholder,literal obsolete or malformed placeholder wording,258,B9J08_000672,function,This protein is an obisoluteute protein.,6,3,obsolete_placeholder,True,PP1-binding domain-containing protein,0.0315117634030431,False,biological_process,0.616,15,2,7,327
obsolete / placeholder,literal obsolete or malformed placeholder wording,258,B9J08_002843,function,OBSOLETE is required for cell division.,6,1,obsolete_placeholder,True,Hypothetical protein,0.0773629899714137,True,cellular_component,0.976,11,11,22,416
photosynthesis / chloroplast,plant or plastid language in this fungal protein set,23,B9J08_000070,pathway,Photosynthesis; C4 acid pathway.,4,13,photosynthesis_or_chloroplast,True,BHLH domain-containing protein,0.032766307193276,False,cellular_component,0.8885,13,13,22,665
photosynthesis / chloroplast,plant or plastid language in this fungal protein set,23,B9J08_004645,function,"Required for efficient group II intron splicing. Binds specific group II introns in chloroplasts and facilitates their splicing. Acts on subgroup IIB introns. The substrates of the subgroup IIB also require the CRM domain proteins CAF1 or CAF2, with a simultaneous binding of CFM3A and CAF1 or CAF2. Required for cell division.",52,1,photosynthesis_or_chloroplast,True,Protein Red,0.1041228170868978,False,cellular_component,0.9132,14,2,24,577
metazoan / clinical,"human, animal or clinical wording needing taxonomic review",11,B9J08_005063,subunit,Interacts with human KDR.,4,1,metazoan_or_clinical_context,True,ABC transmembrane type-1 domain-containing protein,0.0999565187094824,False,membrane part,0.8544,13,2,8,120
metazoan / clinical,"human, animal or clinical wording needing taxonomic review",11,B9J08_000006,function,May play a protective role in mucosal tissues by preventing exaggerated allergic responses.,13,1,metazoan_or_clinical_context,True,Hypothetical protein,0.0705935035912406,True,cellular_component,0.8956,12,2,10,270
bacterial / viral,"bacterial, viral or host-pathogen wording needing taxonomic review",24,B9J08_001949,function,Has antibacterial activity against the Gram-positive bacterium S.aureus and the Gram-negative bacteria E.coli ML35p and P.aeruginosa. Lacks antifungal activity against C.albicans.,21,1,bacterial_or_viral_context,True,Str. FM013,0.0925568338109402,False,cellular_component,0.6641,11,0,4,133
bacterial / viral,"bacterial, viral or host-pathogen wording needing taxonomic review",24,B9J08_002031,function,Major envelope protein that plays a role in the biogenesis of the viral double membrane and in egress of virus particles from the host cell.,25,1,bacterial_or_viral_context,True,Secreted protein,0.0963831950234432,False,cellular_component,0.7309,15,3,14,239
extreme sequence-length wording,unusually long output by the per-output-type iqr rule,44,B9J08_001011,function,"This protein is an atypical, non-specific DNA-binding protein that functions in cell cycle urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari",1011,1,extreme_length_outlier,True,Zinc finger protein,0.0471324817913789,False,biological_process,0.5024,11,0,12,461
extreme sequence-length wording,unusually long output by the per-output-type iqr rule,44,B9J08_003532,function,"The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. This ciliogenic function is mediated in part by the Rab8 GDP/GTP exchange factor, which localizes to the basal body and contacts the BBSome. Rab8 enters the primary cilium and promotes extension of the ciliary membrane. Firstly the BBSome associates with the ciliary membrane and binds to RAB3IP/Rabin8, the guanosyl exchange factor for Rab8 and then the Rab8-GTP localizes to the cilium and promotes docking and fusion of carrier vesicles to the base of the ciliary membrane. The BBSome complex, together with the LTZL1, controls SMO ciliary trafficking and contributes to the sonic hedgehog pathway regulation. Required for proper BBSome complex assembly and its ciliary localization.",141,1,extreme_length_outlier,True,Membrane-associated kinase regulator 6,0.0595393193781641,False,cell part,0.7871,11,4,11,330
