Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Transcript Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
B9J08_000001	B9J08_000001-t37_1	Candida auris strain B8441	PEKT02000001:3,362..4,522(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000002	B9J08_000002-t37_1	Candida auris strain B8441	PEKT02000001:6,653..8,581(+)	hypothetical protein	hypothetical protein	GO:0016021;GO:0005886	integral component of membrane;plasma membrane	GO:0020037;GO:0015232;GO:0022857	heme binding;heme transmembrane transporter activity;transmembrane transporter activity	GO:1904334;GO:0055085	heme import across plasma membrane;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000003	B9J08_000003-t37_1	Candida auris strain B8441	PEKT02000001:9,601..11,205(-)	hypothetical protein	hypothetical protein	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0046873	metal ion transmembrane transporter activity	GO:0030001;GO:0055085	metal ion transport;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000004	B9J08_000004-t37_1	Candida auris strain B8441	PEKT02000001:11,986..12,660(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000005	B9J08_000005-t37_1	Candida auris strain B8441	PEKT02000001:13,716..14,324(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000006	B9J08_000006-t37_1	Candida auris strain B8441	PEKT02000001:14,507..15,319(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000007	B9J08_000007-t37_1	Candida auris strain B8441	PEKT02000001:15,867..17,213(-)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000008	B9J08_000008-t37_1	Candida auris strain B8441	PEKT02000001:18,627..20,405(-)	hypothetical protein	hypothetical protein	GO:0016021	integral component of membrane	GO:0016491	oxidoreductase activity	GO:0006811;GO:0055114	ion transport;obsolete oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.16.1.7 (Ferric-chelate reductase (NADH));1.16.1.9 (Ferric-chelate reductase (NADPH));1.6.99.- (With other acceptors.)
B9J08_000009	B9J08_000009-t37_1	Candida auris strain B8441	PEKT02000001:20,879..22,255(-)	hypothetical protein	hypothetical protein	GO:0016021	integral component of membrane	GO:0008120;GO:0102769;GO:0016757	ceramide glucosyltransferase activity;dihydroceramide glucosyltransferase activity;glycosyltransferase activity	GO:0006665	sphingolipid metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.80 (Ceramide glucosyltransferase)	2.4.1.80 (Ceramide glucosyltransferase)
B9J08_000010	B9J08_000010-t37_1	Candida auris strain B8441	PEKT02000001:24,436..26,298(+)	hypothetical protein	hypothetical protein	GO:0005739;GO:0005777	mitochondrion;peroxisome	GO:0016746;GO:0004092	acyltransferase activity;carnitine O-acetyltransferase activity	GO:0045733;GO:0015976;GO:0009437;GO:0009062	acetate catabolic process;carbon utilization;carnitine metabolic process;fatty acid catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.7 (Carnitine O-acetyltransferase)
B9J08_000011	B9J08_000011-t37_1	Candida auris strain B8441	PEKT02000001:26,758..30,399(+)	hypothetical protein	hypothetical protein	GO:0019898;GO:0000407;GO:0034045;GO:0005774	extrinsic component of membrane;phagophore assembly site;phagophore assembly site membrane;vacuolar membrane	GO:0000149;GO:0060090	SNARE binding;molecular adaptor activity	GO:0000045;GO:0006914;GO:0000422;GO:0030242;GO:0034629;GO:0032258;GO:0034727;GO:2000786;GO:0034497;GO:0015031;GO:0140255;GO:0061709	autophagosome assembly;autophagy;autophagy of mitochondrion;autophagy of peroxisome;cellular protein-containing complex localization;cytoplasm to vacuole transport by the Cvt pathway;piecemeal microautophagy of the nucleus;positive regulation of autophagosome assembly;protein localization to phagoph	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000012	B9J08_000012-t37_1	Candida auris strain B8441	PEKT02000001:30,414..31,385(-)	ribose-phosphate pyrophosphokinase 4	ribose-phosphate pyrophosphokinase 4	GO:0002189	ribose phosphate diphosphokinase complex	GO:0005524;GO:0016301;GO:0000287;GO:0004749	ATP binding;kinase activity;magnesium ion binding;ribose phosphate diphosphokinase activity	GO:0006015;GO:0044249;GO:0031505;GO:0009116;GO:0009165;GO:0009156	5-phosphoribose 1-diphosphate biosynthetic process;cellular biosynthetic process;fungal-type cell wall organization;nucleoside metabolic process;nucleotide biosynthetic process;ribonucleoside monophosphate biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.6.1 (Ribose-phosphate diphosphokinase)	2.7.6.1 (Ribose-phosphate diphosphokinase)
B9J08_000013	B9J08_000013-t37_1	Candida auris strain B8441	PEKT02000001:31,682..33,448(-)	dihydroxy-acid dehydratase, mitochondrial	dihydroxy-acid dehydratase, mitochondrial	N/A	N/A	GO:0051539;GO:0003824;GO:0004160;GO:0046872	4 iron, 4 sulfur cluster binding;catalytic activity;dihydroxy-acid dehydratase activity;metal ion binding	GO:0009082	branched-chain amino acid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.9 (Dihydroxy-acid dehydratase)	4.2.1.9 (Dihydroxy-acid dehydratase)
