Beta FungiDB ID,Beta FungiDB Name
B9J08_000001,unspecified product
B9J08_000002,Major Facilitator Superfamily | domain-containing protein
B9J08_000003,ZIP Zinc transporter | domain-containing protein
B9J08_000004,unspecified product
B9J08_000005,unspecified product
B9J08_000006,unspecified product
B9J08_000007,CRAL/TRIO domain | domain-containing protein
B9J08_000008,Ferric reductase like transmembrane component | FAD-binding domain | Ferric reductase NAD binding domain | domain-containing protein
B9J08_000009,Glycosyl transferase family 21 | domain-containing protein
B9J08_000010,Choline/Carnitine o-acyltransferase | domain-containing protein
B9J08_000011,Autophagy protein ATG17-like domain | Autophagy-related protein 11 | domain-containing protein
B9J08_000012,ribose-phosphate diphosphokinase
B9J08_000013,dihydroxy-acid dehydratase
B9J08_000014,unspecified product
B9J08_000015,homocitrate synthase
B9J08_000016,EXS family | SPX domain | domain-containing protein
B9J08_000017,"Alpha/beta hydrolase family | Dual specificity phosphatase, catalytic domain | domain-containing protein"
B9J08_000018,P-type phospholipid transporter
B9J08_000019,unspecified product
B9J08_000020,"ATP synthase alpha/beta chain, C terminal domain | ATP synthase alpha/beta family, beta-barrel domain | ATP synthase alpha/beta family, nucleotide-binding domain | domain-containing protein"
B9J08_000021,unspecified product
B9J08_000022,unspecified product
B9J08_000023,Peptidase M1 N-terminal domain | ERAP1-like C-terminal domain | Peptidase family M1 domain | domain-containing protein
B9J08_000024,Rhodanese-like domain | domain-containing protein
B9J08_000025,PPIC-type PPIASE domain | domain-containing protein
B9J08_000026,Adenylate kinase | domain-containing protein
B9J08_000027,short chain dehydrogenase | domain-containing protein
B9J08_000028,Pan3 Pseudokinase domain | domain-containing protein
B9J08_000029,unspecified product
B9J08_000030,Perilipin protein | domain-containing protein
B9J08_000031,Nucleosome assembly protein (NAP) | domain-containing protein
B9J08_000032,ABC transporter | ABC transporter transmembrane region 2 | domain-containing protein
B9J08_000033,Major Facilitator Superfamily | domain-containing protein
B9J08_000034,Mitochondrial carrier protein | domain-containing protein
B9J08_000035,unspecified product
B9J08_000036,unspecified product
B9J08_000037,PreP C-terminal domain | Insulinase (Peptidase family M16) | Peptidase M16C associated | Peptidase M16 inactive domain | domain-containing protein
B9J08_000038,ribosomal protein L33
B9J08_000039,emp24/gp25L/p24 family/GOLD | domain-containing protein
B9J08_000040,unspecified product
B9J08_000041,Rad33 | domain-containing protein
B9J08_000042,Pyridoxal-phosphate dependent enzyme | domain-containing protein
B9J08_000043,unspecified product
B9J08_000044,Histone methylation protein DOT1 | domain-containing protein
B9J08_000045,HAND | Helicase conserved C-terminal domain | SNF2-related domain | SLIDE | domain-containing protein
B9J08_000046,Uracil DNA glycosylase superfamily | domain-containing protein
B9J08_000047,"OST3 / OST6 family, transporter family | domain-containing protein"
B9J08_000048,EamA-like transporter family | domain-containing protein
B9J08_000049,Yeast cell wall synthesis protein KRE9/KNH1 C-terminal | Kre9/KNH-like N-terminal Ig-like domain | domain-containing protein
B9J08_000050,Kre9/KNH-like N-terminal Ig-like domain | Yeast cell wall synthesis protein KRE9/KNH1 C-terminal | domain-containing protein
B9J08_000051,Mitochondrial genome maintenance MGM101 | domain-containing protein
B9J08_000052,unspecified product
B9J08_000053,MAS20 protein import receptor | domain-containing protein
B9J08_000054,Cellulase (glycosyl hydrolase family 5) | domain-containing protein
B9J08_000055,homoserine dehydrogenase
B9J08_000056,"Vacuolar membrane-associated protein Iml1, N-terminal domain | Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP) | domain-containing protein"
B9J08_000057,SNO glutamine amidotransferase family | domain-containing protein
B9J08_000058,SOR/SNZ family | domain-containing protein
B9J08_000059,Peroxisomal biogenesis protein family | domain-containing protein
B9J08_000060,RasGEF N-terminal motif | RasGEF domain | domain-containing protein
B9J08_000061,Ribosome biogenesis protein SLX9 | domain-containing protein
B9J08_000062,Forkhead domain | FHA domain | domain-containing protein
B9J08_000063,proteasome endopeptidase complex
B9J08_000064,ribosomal L5P family C-terminus | Ribosomal protein L5 | domain-containing protein
B9J08_000065,Breast carcinoma amplified sequence 2 (BCAS2) | domain-containing protein
B9J08_000066,Ring finger domain | PHD-finger | domain-containing protein
B9J08_000067,Cofilin/tropomyosin-type actin-binding protein | domain-containing protein
B9J08_000068,STD1/MTH1 | domain-containing protein
B9J08_000069,unspecified product
B9J08_000070,unspecified product
B9J08_000071,Eisosome component PIL1 | domain-containing protein
B9J08_000072,Mpv17 / PMP22 family | domain-containing protein
B9J08_000073,Mpv17 / PMP22 family | domain-containing protein
B9J08_000074,Protein phosphatase 2A regulatory B subunit (B56 family) | domain-containing protein
B9J08_000075,IMP dehydrogenase / GMP reductase domain | CBS domain | domain-containing protein
B9J08_000076,Calponin homology (CH) domain | domain-containing protein
B9J08_000077,Ribosomal L28e protein family | Mak16 protein C-terminal region | domain-containing protein
B9J08_000078,RTA1 like protein | domain-containing protein
B9J08_000079,KilA-N domain | domain-containing protein
B9J08_000080,Transmembrane amino acid transporter protein | domain-containing protein
B9J08_000081,unspecified product
B9J08_000082,Ras family | domain-containing protein
B9J08_000083,unspecified product
B9J08_000084,ATP synthase complex subunit h | domain-containing protein
B9J08_000085,Afadin- and alpha -actinin-Binding | domain-containing protein
B9J08_000086,unspecified product
B9J08_000087,DNA helicase
B9J08_000088,Prefoldin subunit | domain-containing protein
B9J08_000089,unspecified product
B9J08_000090,Ribosomal protein 60S L18 and 50S L18e | domain-containing protein
B9J08_000091,Ribosomal protein S19e | domain-containing protein
