Protein,Output_Type,Description,Word_Count,Exact_Duplicate_Count,Review_Reasons,Review_Flag,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top1_Generic,ProtNote_Top_GO_Description,ProtNote_Top_Probability,ProtNote_Specific_Count,ProtNote_HighConf_Specific_Count,Ortholog count,Protein Length
B9J08_000211,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is an intermediate in the biosynthesis of new nicotinamide ribonucleotides.,27,1,bacterial_or_viral_context,True,Transmembrane protein,0.0455220107779271,False,cellular metabolic process,0.7893,16,16,8,194
B9J08_000652,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues.,15,1,bacterial_or_viral_context,True,MMPL domain-containing protein,0.1203971027112557,False,cellular_component,0.9327,11,3,8,255
B9J08_000663,function,This protein is an enzymatically inactive cyclic nucleotide-binding protein that functions as an anti-viral agent against a wide variety of Gram-positive and Gram-negative bacteria.,24,1,bacterial_or_viral_context,True,DUF223 domain-containing protein,0.0556049013029314,False,cellular process,0.5714,12,0,9,166
B9J08_001074,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. Contributes to the formation of Salmonella-induced filaments in infected macrophages. Required for efficient replication in macrophages.,31,1,bacterial_or_viral_context,True,Transmembrane protein,0.0519086129505674,False,membrane part,0.9475,11,4,2,104
B9J08_001339,function,Forms a fibrillar layer on the bacterial surface that provides a framework for the olfactory epithelial to meso-diaminopimelic acid layer.,20,1,bacterial_or_viral_context,True,Cell wall protein,0.0658296296346013,False,cellular_component,0.8257,15,11,147,148
B9J08_001755,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is an endopeptidase that degrades single-stranded peptidoglycan fragments of target proteins.,28,1,bacterial_or_viral_context,True,Conjugal transfer protein TraG,0.0757334084707867,False,cellular_component,0.7148,13,1,9,85
B9J08_001949,function,Has antibacterial activity against the Gram-positive bacterium S.aureus and the Gram-negative bacteria E.coli ML35p and P.aeruginosa. Lacks antifungal activity against C.albicans.,21,1,bacterial_or_viral_context,True,Str. FM013,0.0925568338109402,False,cellular_component,0.6641,11,0,4,133
B9J08_001978,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. Contributes to the pathogenesis of M.tuberculosis when overexpressed.,23,1,bacterial_or_viral_context,True,DUF4234 domain-containing protein,0.2632348470618642,False,cellular_component,0.9547,9,5,21,125
B9J08_002031,function,Major envelope protein that plays a role in the biogenesis of the viral double membrane and in egress of virus particles from the host cell.,25,1,bacterial_or_viral_context,True,Secreted protein,0.0963831950234432,False,cellular_component,0.7309,15,3,14,239
B9J08_002309,function,": Involved in aphid transmission, cell-to-cell and systemis movement, encapsidation of the viral RNA and in the regulation of viral RNA amplification.; FUNCTION: : An RNA-dependent RNA polymerase that plays an essential role in the virus replication.",37,1,bacterial_or_viral_context,True,Hypothetical protein,0.0209065214103169,True,molecular_function,0.3087,16,0,6,114
B9J08_002486,function,"Transports viral genome to neighboring plant cells directly through plasmosdesmata, without any budding. The movement protein allows efficient cell to cell propagation, by bypassing the host cell wall barrier",29,1,bacterial_or_viral_context,True,Hypothetical protein,0.0574588023444996,True,intrinsic component of membrane,0.9192,13,7,8,143
B9J08_002492,function,"The main function of this protein is to resist bacterial lipopolysaccharide, probably by inhibiting the biosynthesis of the antibiotic phosphingosine.",20,1,bacterial_or_viral_context,True,(pine wood nematode) hypothetical protein,0.1311373078622169,False,response to chemical,0.6113,15,2,19,317
B9J08_002540,function,May play an important role in the regulation of bacterial aggregation.,11,1,bacterial_or_viral_context,True,Opaque-phase-specific protein OP4,0.2406469373551815,False,cellular_component,0.9635,9,3,46,386
B9J08_003223,function,Binds to bacterial lipopolysaccharides and may be involved in the process of cell division.,14,1,bacterial_or_viral_context,True,Opaque-phase-specific protein OP4,0.8016801121896597,False,cellular_component,0.9461,11,3,46,340
