Protein,Gene ID,source_id,Product Description,Protein Length,Ortholog count,Paralog count,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top10,ProtNLM_Top1_Generic,ProtNLM_Score_GE_0.2,ProtNLM_Score_GE_0.5,ProtNLM_Score_GE_0.8,ProtNote_Top_GO,ProtNote_Top_GO_Description,ProtNote_Top_Probability,ProtNote_Top_Rank,ProtNote_Top_Specific_GO,ProtNote_Top_Specific_Description,ProtNote_Top_Specific_Probability,ProtNote_Top_Specific_Rank,ProtNote_NonObsolete_Count,ProtNote_Specific_Count,ProtNote_HighConf_Specific_Count,ProtNote_All_Specific_Descriptions,Has_ProtNote_Specific_Prediction,Has_HighConf_ProtNote_Specific,ProtNLM_NonGeneric,Candidate_Priority_Score,Beam_Count,Beam_Unique_Normalised_Labels,Beam_Top_Label_Repetition_Count,Beam_Exact_Lexical_Coherence,Beam_Most_Repeated_Normalised_Label,Beam_Normalised_Labels,Suspicious_Output_Reason,Suspicious_Output_Rule_Match,Ortholog_Count_Quartile_Bin,Protein_Length_Quartile_Bin
B9J08_001970,B9J08_001970,B9J08_001970-t37_1,hypothetical protein,395,7,0,LisH domain-containing protein,0.9612094350853858,LisH domain-containing protein [0.9612] | LisH protein [0.0026] | Transcriptional activator FLO8 [0.0019] | Related to LisH domain-containing protein [0.0018] | Transcriptional regulatory protein [0.0013] | Transcription activator MSS11 [0.0011] | Transcription factor [0.0010] | LisH [0.0008] | Related to transcription activator MSS11 [0.0006] | Transcriptional regulator [0.0005],False,True,True,True,GO:0044464,cell part,0.9497,1,GO:0044424,intracellular part,0.9258,3,20,15,15,"intracellular part | intracellular membrane-bounded organelle | intracellular organelle | nucleus | positive regulation of cellular metabolic process | positive regulation of RNA metabolic process | positive regulation of macromolecule metabolic process | positive regulation of gene expression | regulation of macromolecule biosynthetic process | regulation of biosynthetic process | positive regulation of cellular biosynthetic process | positive regulation of nucleobase-containing compound metabolic process | regulation of RNA biosynthetic process | regulation of cellular macromolecule biosynthetic process | positive regulation of transcription, DNA-templated",True,True,True,5,10,10,1,0.1,lish | lish domain containing protein | lish protein | related to lish domain containing protein | related to transcription activator mss11 | transcription activator mss11 | transcription factor | transcriptional activator flo8 | transcriptional regulator | transcriptional regulatory protein,lish domain containing protein | lish protein | transcriptional activator flo8 | related to lish domain containing protein | transcriptional regulatory protein | transcription activator mss11 | transcription factor | lish | related to transcription activator mss11 | transcriptional regulator,,False,"(-0.001, 8.0]","(289.0, 433.0]"
B9J08_002552,B9J08_002552,B9J08_002552-t37_1,hypothetical protein,322,11,0,F-box domain-containing protein,0.9264463992180944,F-box domain-containing protein [0.9264] | F-box domain protein [0.0065] | Hypothetical protein [0.0040] | F-box domain containing protein [0.0034] | (pine wood nematode) hypothetical protein [0.0032] | F-box domain [0.0029] | FBA_2 domain-containing protein [0.0027] | FTH domain-containing protein [0.0025] | Cyclin-like F-box [0.0024] | FBD domain-containing protein [0.0011],False,True,True,True,GO:0003674,molecular_function,0.7426,1,GO:0097159,organic cyclic compound binding,0.7147,3,19,12,4,organic cyclic compound binding | heterocyclic compound binding | nucleic acid binding | RNA binding | intracellular part | cellular aromatic compound metabolic process | organelle fusion | cellular metabolic process | DNA binding | cytoplasm | cellular nitrogen compound metabolic process | nucleobase-containing compound metabolic process,True,True,True,5,10,9,2,0.2,f box domain containing protein,f box domain containing protein | f box domain protein | hypothetical protein | f box domain containing protein | (pine wood nematode) hypothetical protein | f box domain | fba 2 domain containing protein | fth domain containing protein | cyclin like f box | fbd domain containing protein,,False,"(8.0, 17.0]","(289.0, 433.0]"
B9J08_002204,B9J08_002204,B9J08_002204-t37_1,hypothetical protein,351,16,0,Topoisomerase I damage affected protein 11,0.9087093148450928,"Topoisomerase I damage affected protein 11 [0.9087] | Topoisomerase 1-associated factor 1 [0.0159] | Topoisomerase i damage affected protein 11 [0.0107] | Topoisomerase I damage affected protein 11-like [0.0022] | Topoisomerase II-associated protein PAT1 [0.0018] | Topoisomerase I damage affected-like protein [0.0011] | Topoisomerase I damage affected protein 11, [0.0010] | Topoisomerase I damage affected protein 8 [0.0009] | Topoisomerase IB [0.0007] | Topoisomerase II [0.0007]",False,True,True,True,GO:0005575,cellular_component,0.9126,1,GO:0044424,intracellular part,0.8406,3,18,12,6,intracellular part | nucleus | cytoplasm | intracellular organelle | intracellular membrane-bounded organelle | localization | organic substance transport | cell cycle process | establishment of localization | cellular component organization or biogenesis | cellular component organization | plasma membrane bounded cell projection organization,True,True,True,5,10,8,3,0.3,topoisomerase i damage affected protein 11,topoisomerase i damage affected protein 11 | topoisomerase 1 associated factor 1 | topoisomerase i damage affected protein 11 | topoisomerase i damage affected protein 11 like | topoisomerase ii associated protein pat1 | topoisomerase i damage affected like protein | topoisomerase i damage affected protein 11 | topoisomerase i damage affected protein 8 | topoisomerase ib | topoisomerase ii,,False,"(8.0, 17.0]","(289.0, 433.0]"
B9J08_002968,B9J08_002968,B9J08_002968-t37_1,hypothetical protein,228,9,0,MARVEL domain-containing protein,0.8800758666034663,MARVEL domain-containing protein [0.8801] | Membrane-associating domain-containing protein [0.0162] | Membrane-associating domain protein [0.0047] | Integral membrane protein [0.0040] | MARVEL domain containing protein [0.0039] | Marvel domain-containing protein [0.0036] | MARVEL-like domain protein [0.0034] | Membrane-associating domain-domain-containing protein [0.0034] | Synaptophysin / synaptoporin [0.0021] | Membrane-associating domain family protein [0.0018],False,True,True,True,GO:0005575,cellular_component,0.9783,1,GO:0016021,integral component of membrane,0.9404,3,16,9,9,integral component of membrane | intrinsic component of membrane | membrane | localization | establishment of localization | vesicle-mediated transport | transport | intracellular part | plasma membrane,True,True,True,5,10,8,3,0.3,marvel domain containing protein,marvel domain containing protein | membrane associating domain containing protein | membrane associating domain protein | integral membrane protein | marvel domain containing protein | marvel domain containing protein | marvel like domain protein | membrane associating domain domain containing protein | synaptophysin / synaptoporin | membrane associating domain family protein,,False,"(8.0, 17.0]","(173.0, 289.0]"
B9J08_004442,B9J08_004442,B9J08_004442-t37_1,hypothetical protein,282,23,0,Seipin,0.8481737654276187,"Seipin [0.8482] | Hypothetical protein [0.0280] | Transmembrane protein 231 [0.0264] | (pine wood nematode) hypothetical protein [0.0044] | Hypothetical_protein [0.0043] | Adipose-regulatory protein, Seipin [0.0024] | Tubulin polyglutamylase complex subunit 2 [0.0016] | Adipose-regulatory protein [0.0015] | Cell cycle control protein [0.0015] | Transmembrane protein [0.0015]",False,True,True,True,GO:0005575,cellular_component,0.9712,1,GO:0016021,integral component of membrane,0.9098,3,19,13,13,integral component of membrane | intrinsic component of membrane | primary metabolic process | organic substance metabolic process | lipid metabolic process | organelle part | intracellular part | membrane | metabolic process | intracellular organelle part | localization | endoplasmic reticulum part | transport,True,True,True,5,10,9,2,0.2,hypothetical protein,"seipin | hypothetical protein | transmembrane protein 231 | (pine wood nematode) hypothetical protein | hypothetical protein | adipose regulatory protein, seipin | tubulin polyglutamylase complex subunit 2 | adipose regulatory protein | cell cycle control protein | transmembrane protein",,False,"(22.0, 1864.0]","(173.0, 289.0]"
B9J08_000014,B9J08_000014,B9J08_000014-t37_1,hypothetical protein,590,21,0,PWI domain-containing protein,0.8315791122355279,"PWI domain-containing protein [0.8316] | RING-type domain-containing protein [0.0068] | RNA-binding protein 25-like [0.0041] | Trichohyalin-like [0.0041] | Hypothetical protein [0.0031] | Stress response protein NST1 [0.0030] | RNA-binding protein 25 [0.0026] | Small-subunit processome, Utp14 [0.0026] | Small-subunit processome [0.0019] | Similar to [0.0019]",False,True,True,True,GO:0008150,biological_process,0.814,1,GO:0008152,metabolic process,0.5803,3,18,14,4,metabolic process | primary metabolic process | macromolecule metabolic process | nitrogen compound metabolic process | RNA metabolic process | heterocycle metabolic process | mRNA metabolic process | mRNA processing | cellular nitrogen compound metabolic process | RNA processing | cellular metabolic process | nucleobase-containing compound metabolic process | organic substance metabolic process | intracellular part,True,True,True,5,10,10,1,0.1,"hypothetical protein | pwi domain containing protein | ring type domain containing protein | rna binding protein 25 | rna binding protein 25 like | similar to | small subunit processome | small subunit processome, utp14 | stress response protein nst1 | trichohyalin like","pwi domain containing protein | ring type domain containing protein | rna binding protein 25 like | trichohyalin like | hypothetical protein | stress response protein nst1 | rna binding protein 25 | small subunit processome, utp14 | small subunit processome | similar to",,False,"(17.0, 22.0]","(433.0, 1649.0]"
B9J08_000608,B9J08_000608,B9J08_000608-t37_1,hypothetical protein,244,22,0,DUF2012 domain-containing protein,0.8305055004871009,"DUF2012 domain-containing protein [0.8305] | ER membrane protein complex subunit 7 homolog [0.0221] | ER membrane protein complex subunit 7 [0.0113] | Endoplasmic reticulum membrane protein [0.0058] | Protein SOP4 [0.0034] | ER membrane protein complex subunit 7, [0.0031] | Endoplasmic reticulum-Golgi intermediate compartment protein 3 [0.0027] | ER membrane protein complex subunit 7-like protein [0.0024] | Transmembrane protein [0.0024] | Endoplasmic reticulum-Golgi intermediate compartment protein 2 [0.0024]",False,True,True,True,GO:0005575,cellular_component,0.9564,1,GO:0044432,endoplasmic reticulum part,0.885,4,19,13,8,endoplasmic reticulum part | organelle part | intracellular part | intracellular organelle part | intrinsic component of membrane | integral component of membrane | organelle membrane | localization | protein localization | macromolecule localization | transport | establishment of protein localization | endoplasmic reticulum membrane,True,True,True,5,10,9,2,0.2,er membrane protein complex subunit 7,duf2012 domain containing protein | er membrane protein complex subunit 7 homolog | er membrane protein complex subunit 7 | endoplasmic reticulum membrane protein | protein sop4 | er membrane protein complex subunit 7 | endoplasmic reticulum golgi intermediate compartment protein 3 | er membrane protein complex subunit 7 like protein | transmembrane protein | endoplasmic reticulum golgi intermediate compartment protein 2,,False,"(17.0, 22.0]","(173.0, 289.0]"
B9J08_000259,B9J08_000259,B9J08_000259-t37_1,hypothetical protein,188,347,1,HIG1 domain-containing protein,0.820527259083487,"HIG1 domain-containing protein [0.8205] | Respiratory supercomplex factor 2, mitochondrial [0.0133] | Respiratory supercomplex factor 1, mitochondrial [0.0111] | Respiratory supercomplex factor 2-like protein [0.0064] | Hypothetical_protein [0.0050] | Respiratory supercomplex factor 2 [0.0021] | Hypoxia induced protein conserved region-domain-containing protein [0.0020] | HIG1 domain family member 1A, mitochondrial [0.0014] | WGS project CCBQ000000000 data, contig 00015 [0.0014] | Hypoxia induced protein conserved region [0.0012]",False,True,True,True,GO:0044424,intracellular part,0.9054,1,GO:0044424,intracellular part,0.9054,1,20,13,13,intracellular part | intrinsic component of membrane | integral component of membrane | intracellular organelle part | organelle part | mitochondrial part | integral component of mitochondrial membrane | metabolic process | intrinsic component of mitochondrial membrane | integral component of organelle membrane | intrinsic component of organelle membrane | cellular metabolic process | mitochondrial membrane part,True,True,True,5,10,10,1,0.1,"hig1 domain containing protein | hig1 domain family member 1a, mitochondrial | hypothetical protein | hypoxia induced protein conserved region | hypoxia induced protein conserved region domain containing protein | respiratory supercomplex factor 1, mitochondrial | respiratory supercomplex factor 2 | respiratory supercomplex factor 2 like protein | respiratory supercomplex factor 2, mitochondrial | wgs project ccbq000000000 data, contig 00015","hig1 domain containing protein | respiratory supercomplex factor 2, mitochondrial | respiratory supercomplex factor 1, mitochondrial | respiratory supercomplex factor 2 like protein | hypothetical protein | respiratory supercomplex factor 2 | hypoxia induced protein conserved region domain containing protein | hig1 domain family member 1a, mitochondrial | wgs project ccbq000000000 data, contig 00015 | hypoxia induced protein conserved region",,False,"(22.0, 1864.0]","(173.0, 289.0]"
B9J08_002613,B9J08_002613,B9J08_002613-t37_1,hypothetical protein,427,21,0,BHLH domain-containing protein,0.803605194530258,"BHLH domain-containing protein [0.8036] | Transcriptional regulator [0.0187] | BZIP domain-containing protein [0.0046] | WGS project CCBQ000000000 data, contig 00015 [0.0033] | Retrograde regulation protein 3 [0.0031] | WGS project CCBQ000000000 data, contig 00106 [0.0030] | Helix-loop-helix DNA-binding domain-containing transcription factor [0.0019] | WGS project CCBQ000000000 data, contig 00016 [0.0017] | WGS project CCBQ000000000 data, contig 00107 [0.0016] | Hlh transcription factor [0.0015]",False,True,True,True,GO:0008150,biological_process,0.9599,1,GO:0003676,nucleic acid binding,0.9237,3,20,14,14,nucleic acid binding | heterocyclic compound binding | organic cyclic compound binding | DNA binding | nitrogen compound metabolic process | intracellular part | organic substance metabolic process | heterocycle metabolic process | nucleobase-containing compound metabolic process | nucleic acid metabolic process | cellular metabolic process | organic cyclic compound metabolic process | macromolecule metabolic process | primary metabolic process,True,True,True,5,10,10,1,0.1,"bhlh domain containing protein | bzip domain containing protein | helix loop helix dna binding domain containing transcription factor | hlh transcription factor | retrograde regulation protein 3 | transcriptional regulator | wgs project ccbq000000000 data, contig 00015 | wgs project ccbq000000000 data, contig 00016 | wgs project ccbq000000000 data, contig 00106 | wgs project ccbq000000000 data, contig 00107","bhlh domain containing protein | transcriptional regulator | bzip domain containing protein | wgs project ccbq000000000 data, contig 00015 | retrograde regulation protein 3 | wgs project ccbq000000000 data, contig 00106 | helix loop helix dna binding domain containing transcription factor | wgs project ccbq000000000 data, contig 00016 | wgs project ccbq000000000 data, contig 00107 | hlh transcription factor",,False,"(17.0, 22.0]","(289.0, 433.0]"
B9J08_003223,B9J08_003223,B9J08_003223-t37_1,hypothetical protein,340,46,1,Opaque-phase-specific protein OP4,0.8016801121896597,"Opaque-phase-specific protein OP4 [0.8017] | Secreted protein [0.0163] | Opaque-phase-specific protein OP4, [0.0119] | Cell wall mannoprotein 1 [0.0041] | Opaque-phase-specific protein OP4 protein [0.0026] | Cell wall protein [0.0026] | HEAT repeat domain-containing protein [0.0025] | Opaque-phase-specific protein [0.0025] | Opaque-phase-specific protein OP4, variant [0.0014] | Bgt- [0.0014]",False,True,True,True,GO:0005575,cellular_component,0.9461,1,GO:0051179,localization,0.6252,5,17,11,3,localization | transport | establishment of localization | organic substance transport | intrinsic component of membrane | periplasmic space | viral capsid | anchored component of membrane | structural molecule activity | membrane | plasma membrane,True,True,True,5,10,9,2,0.2,opaque phase specific protein op4,"opaque phase specific protein op4 | secreted protein | opaque phase specific protein op4 | cell wall mannoprotein 1 | opaque phase specific protein op4 protein | cell wall protein | heat repeat domain containing protein | opaque phase specific protein | opaque phase specific protein op4, variant | bgt",,False,"(22.0, 1864.0]","(289.0, 433.0]"
