Protein	GO_IDs
B9J08_000005	GO:0005575;GO:0044464;GO:0005576;GO:0016020;GO:0031225;GO:0008150;GO:0005886;GO:0003674;GO:0031224;GO:0030312;GO:0008284;GO:0005618;GO:0044425;GO:0065007;GO:0007155;GO:0065008;GO:0042127;GO:0022610
B9J08_000006	GO:0005575;GO:0044424;GO:0044464;GO:0008150;GO:0005737;GO:0009987;GO:0008152;GO:0044441;GO:0043170;GO:0006807;GO:0044463;GO:0120038;GO:0006952;GO:0001539;GO:0044260;GO:0044237;GO:0043226
B9J08_000014	GO:0008150;GO:0005575;GO:0008152;GO:0044238;GO:0043170;GO:0006807;GO:0016070;GO:0003674;GO:0046483;GO:0009987;GO:0016071;GO:0006397;GO:0034641;GO:0006396;GO:0044237;GO:0006139;GO:0071704;GO:0044424
B9J08_000019	GO:0005575;GO:0044464;GO:0044422;GO:0044446;GO:0044424;GO:0044444;GO:0008150;GO:0097159;GO:1901363;GO:0031090;GO:0003674;GO:0005488;GO:0071702;GO:0016020;GO:0044425;GO:0003676;GO:0044432;GO:0036094;GO:0071705
B9J08_000021	GO:0044464;GO:0005575;GO:0044424;GO:0008150;GO:0044446;GO:0044422;GO:0071704;GO:0006807;GO:0043170;GO:0044428;GO:0008152;GO:0043226;GO:0044238;GO:0043229;GO:1901564;GO:0065003;GO:0009987;GO:0043933
B9J08_000022	GO:0003824;GO:0003674;GO:0008150;GO:0005575;GO:0005737;GO:0009987;GO:0044464;GO:0016740;GO:0044424;GO:0016746;GO:0140110;GO:0044237;GO:0140640;GO:0008152;GO:0009058;GO:0016043;GO:0140098;GO:0044249;GO:0016747
B9J08_000040	GO:0008150;GO:0009987;GO:0003674;GO:0005575;GO:0005488;GO:0071705;GO:0044424;GO:0008104;GO:0071702;GO:0032991;GO:0033036;GO:0071840;GO:0042886;GO:0044464;GO:0044446;GO:0003677;GO:0006325;GO:0045184;GO:0015031;GO:0016043
B9J08_000043	GO:0003674;GO:0003824;GO:0005575;GO:0044464;GO:0016787;GO:0016791;GO:0008150;GO:0042578;GO:0016020;GO:0016788;GO:0044424;GO:0005737;GO:0005886;GO:0008152;GO:0044237;GO:0005488;GO:0009987
B9J08_000052	GO:0005575;GO:0044425;GO:0016021;GO:0031224;GO:0044464;GO:0044424;GO:0044422;GO:0044446;GO:0044444;GO:0008150;GO:0003674;GO:0016020;GO:0031090;GO:0031301;GO:0005488;GO:0044429;GO:0019866;GO:0044435
B9J08_000070	GO:0005575;GO:0044424;GO:0044464;GO:0008150;GO:0009987;GO:0003676;GO:0065007;GO:1901363;GO:0097159;GO:0044444;GO:0005488;GO:0005737;GO:0005935;GO:0044448;GO:0051641;GO:0032153;GO:0030427;GO:0003723;GO:0040007;GO:0044430
B9J08_000086	GO:0008150;GO:0006807;GO:0003674;GO:0071704;GO:0009987;GO:0008152;GO:0044237;GO:0044238;GO:0005488;GO:0043170;GO:0003824;GO:0044260;GO:1901564;GO:0006471;GO:0043167;GO:0005575;GO:0043169;GO:0032502;GO:0006725
B9J08_000110	GO:0005575;GO:0044424;GO:0044464;GO:0044444;GO:0003674;GO:0005488;GO:0043169;GO:0046872;GO:0043167;GO:0008150;GO:0044446;GO:0044425;GO:0043229;GO:0044422;GO:0043226;GO:0043227;GO:0016021;GO:0043231;GO:0031224;GO:0005739
