Protein,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top10
B9J08_000005,GPI anchored protein,0.1325214030536454,"GPI anchored protein [0.1325] | GPI anchored protein, [0.0865] | Secreted protein [0.0361] | Cell wall protein [0.0344] | Hypothetical_protein [0.0258] | Expressed protein [0.0201] | GPI-anchored protein [0.0142] | GPI-anchored protein 26 [0.0092] | Cell wall [0.0075] | GPI-anchored protein pfl2 [0.0072]"
B9J08_000006,Hypothetical protein,0.0705935035912406,"Hypothetical protein [0.0706] | Hypothetical_protein [0.0481] | PH domain-containing protein [0.0223] | Phage protein [0.0135] | Polymerase [0.0115] | Gag-pol polyprotein [0.0111] | Conserved domain protein [0.0109] | Integrase [0.0069] | Hypothetical conserved protein [0.0067] | WGS project CCBQ000000000 data, contig 00015 [0.0031]"
B9J08_000014,PWI domain-containing protein,0.8315791122355279,"PWI domain-containing protein [0.8316] | RING-type domain-containing protein [0.0068] | RNA-binding protein 25-like [0.0041] | Trichohyalin-like [0.0041] | Hypothetical protein [0.0031] | Stress response protein NST1 [0.0030] | RNA-binding protein 25 [0.0026] | Small-subunit processome, Utp14 [0.0026] | Small-subunit processome [0.0019] | Similar to [0.0019]"
B9J08_000019,37S ribosomal protein rsm28,0.0380680229487214,"37S ribosomal protein rsm28 [0.0381] | DUF4378 domain-containing protein [0.0336] | 37S ribosomal protein rsm28, mitochondrial [0.0333] | Hypothetical protein [0.0259] | 37S ribosomal protein RSM28, mitochondrial [0.0249] | Hypothetical_protein [0.0231] | Required for respiratory growth protein 8, mitochondrial [0.0189] | WGS project CCBQ000000000 data, contig 00015 [0.0154] | WGS project CCBQ000000000 data, contig 00106 [0.0093] | DUF4048 domain-containing protein [0.0092]"
B9J08_000021,Bromo domain-containing protein,0.2004495120930359,Bromo domain-containing protein [0.2004] | Hypothetical protein [0.0240] | JmjC domain-containing protein [0.0188] | TFIIS N-terminal domain-containing protein [0.0180] | (pine wood nematode) hypothetical protein [0.0161] | DUF4806 domain-containing protein [0.0146] | Transcription termination factor 1 [0.0144] | Myb-like domain-containing protein [0.0137] | TFIIS helical bundle-like domain containing protein [0.0062] | TFIIS helical bundle-like domain [0.0023]
B9J08_000022,Virion core protein,0.0742025562650697,Virion core protein [0.0742] | DUF3822 family protein [0.0694] | COesterase domain-containing protein [0.0527] | Virion structural protein [0.0525] | MacB_PCD domain-containing protein [0.0381] | Methyltransferase [0.0215] | Gasdermin domain-containing protein [0.0167] | DUF3822 domain-containing protein [0.0135] | DUF3846 domain-containing protein [0.0118] | Virion core protein (Lumpy skin disease virus) [0.0101]
B9J08_000040,DUF4704 domain-containing protein,0.0609950831118475,DUF4704 domain-containing protein [0.0610] | Hypothetical_protein [0.0545] | EC:2.7.11.1 [0.0339] | DUF4042 domain-containing protein [0.0247] | Rap-GAP domain-containing protein [0.0234] | EC:3.4.19.12 [0.0225] | Integrator complex subunit 2 [0.0209] | Serine/threonine-protein kinase ATR [0.0201] | DUF1741 domain-containing protein [0.0198] | Serine/threonine-protein kinase TEL1 [0.0094]
B9J08_000043,ANK_REP_REGION domain-containing protein,0.0482880470369484,"ANK_REP_REGION domain-containing protein [0.0483] | RRM domain-containing protein [0.0393] | Histone H3-K79 methyltransferase [0.0229] | BRCT domain-containing protein [0.0159] | Protein kinase domain-containing protein [0.0157] | RING-type domain-containing protein [0.0149] | Histone deacetylase [0.0052] | Histone-lysine N-methyltransferase [0.0048] | Histone deacetylase SIR2 [0.0037] | Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5 [0.0022]"
B9J08_000052,Hypothetical protein,0.1909717070597697,"Hypothetical protein [0.1910] | (thale cress) hypothetical protein [0.0453] | Transmembrane protein [0.0449] | Complex I-B14.7 [0.0434] | Hypothetical_protein [0.0356] | NADH-ubiquinone oxidoreductase subunit B14.7 [0.0341] | NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 [0.0280] | Hypothetical_protein_-_conserved [0.0241] | Complex I assembly factor TIMMDC1, mitochondrial [0.0223] | Transmembrane protein, [0.0206]"
B9J08_000070,BHLH domain-containing protein,0.032766307193276,"BHLH domain-containing protein [0.0328] | J domain-containing protein [0.0311] | BZIP domain-containing protein [0.0274] | GATA-type domain-containing protein [0.0214] | Transcription factor [0.0123] | Transcriptional regulator [0.0046] | Transcriptional activator [0.0042] | WGS project CCBQ000000000 data, contig 00015 [0.0034] | Transcriptional regulatory protein [0.0034] | WGS project CCBQ000000000 data, contig 00106 [0.0020]"
B9J08_000086,LisH domain-containing protein,0.0333084579403749,LisH domain-containing protein [0.0333] | CACTA en-spm transposon protein [0.0250] | Tetratricopeptide repeat (TPR)-like superfamily protein [0.0160] | Hypothetical protein [0.0104] | (pine wood nematode) hypothetical protein [0.0082] | Alpha-type protein kinase domain-containing protein [0.0076] | Protein kinase domain-containing protein [0.0063] | Tetratricopeptide repeat protein 28 [0.0033] | LisH domain-containing protein C1711.05-like [0.0027] | TRNA-synt_2c domain-containing protein [0.0026]
B9J08_000110,Helitron_like_N domain-containing protein,0.0809769628302752,Helitron_like_N domain-containing protein [0.0810] | Aldo_ket_red domain-containing protein [0.0139] | Hypothetical protein [0.0119] | Pentatricopeptide repeat-containing protein [0.0091] | ATP synthase mitochondrial F1 complex assembly factor 2 [0.0087] | Helicase [0.0073] | DUF294_C domain-containing protein [0.0067] | DUF2236 domain-containing protein [0.0064] | ATP-dependent DNA helicase [0.0060] | Acyl-CoA_dh_N domain-containing protein [0.0060]
B9J08_000116,Cell wall protein,0.0691119361140267,"Cell wall protein [0.0691] | Extracellular serine-threonine rich protein [0.0580] | GPI anchored protein [0.0427] | Str. FM013 [0.0300] | GPI anchored protein, [0.0275] | Secreted protein [0.0148] | Extracellular proline-serine rich protein [0.0133] | Cell wall protein, [0.0130] | Extracellular serine-rich protein [0.0108] | Extracellular serine-threonine rich [0.0070]"
B9J08_000117,GPI-anchored protein,0.0458290502135111,"GPI-anchored protein [0.0458] | Related to sporozoite surface protein 2 [0.0349] | Cell wall protein [0.0283] | Cell wall mannoprotein CIS3 [0.0282] | Str. FM013 [0.0272] | Extracellular serine-rich protein [0.0239] | GPI anchored protein [0.0193] | Clock-controlled protein 6 [0.0144] | SAG-related sequence SRS10 [0.0138] | GPI anchored protein, [0.0065]"
B9J08_000119,YtxH domain-containing protein,0.0752423605690288,YtxH domain-containing protein [0.0752] | Sporulation protein [0.0526] | DUF4350 domain-containing protein [0.0441] | DUF4362 domain-containing protein [0.0363] | Flagellar basal body-associated protein FliL [0.0325] | Flagellar M-ring protein FliF [0.0197] | DUF1421 domain containing protein [0.0185] | SIMPL domain-containing protein [0.0184] | DUF4363 family protein [0.0162] | Cell division protein [0.0160]
B9J08_000124,Hypothetical_protein,0.0703316654939231,Hypothetical_protein [0.0703] | Protein kinase domain-containing protein [0.0512] | ANK_REP_REGION domain-containing protein [0.0290] | Pheromone-regulated membrane protein 10 [0.0137] | Frequency clock protein [0.0136] | HECT domain-containing protein [0.0129] | F-box domain-containing protein [0.0123] | Fcf2 domain-containing protein [0.0111] | Pheromone-regulated membrane protein [0.0045] | Serine/threonine protein kinase [0.0037]
B9J08_000158,"Transmembrane protein,",0.0365017091136658,"Transmembrane protein, [0.0365] | ADP,ATP carrier protein [0.0344] | DUF5658 domain-containing protein [0.0305] | Integral membrane protein [0.0294] | Transmembrane protein [0.0277] | Golgi apparatus membrane protein TVP23 homolog [0.0261] | G protein-coupled receptor [0.0250] | PH domain-containing protein [0.0242] | Golgi apparatus membrane protein TVP23 [0.0168] | Serine/threonine protein kinase [0.0062]"
B9J08_000197,GRIP domain-containing protein,0.0368754843256158,GRIP domain-containing protein [0.0369] | TACC_C domain-containing protein [0.0363] | Golgin subfamily A member 4-like [0.0308] | Golgin subfamily A member 4 [0.0277] | (thale cress) hypothetical protein [0.0234] | Hypothetical_protein [0.0112] | Intracellular protein transport protein USO1-like [0.0104] | Myosin-11-like [0.0097] | M protein repeat protein [0.0090] | Protein MLP1 homolog [0.0083]
B9J08_000211,Transmembrane protein,0.0455220107779271,"Transmembrane protein [0.0455] | Hypothetical protein [0.0452] | Membrane protein US8A [0.0320] | Hypothetical_protein_-_conserved [0.0256] | Hypothetical_protein [0.0192] | Hypothetical_protein_conserved [0.0183] | Transposase [0.0168] | Transmembrane protein, [0.0088] | Serine/threonine-protein kinase [0.0080] | Non-structural protein NP-1 [0.0075]"
B9J08_000221,Secreted protein,0.0337153123924241,Secreted protein [0.0337] | S-protein homolog [0.0236] | AbfB domain-containing protein [0.0192] | Cupredoxin [0.0176] | DUF1968 domain-containing protein [0.0134] | Lamin tail domain-containing protein [0.0134] | Dermatopontin1 [0.0110] | DUF1996 domain-containing protein [0.0065] | Agglutinin-2 [0.0048] | Dermatopontin [0.0044]
B9J08_000224,DUF817 domain-containing protein,0.1698047993897251,DUF817 domain-containing protein [0.1698] | DUF817 family protein [0.1054] | DUF418 domain-containing protein [0.0825] | Conserved plasma membrane protein [0.0784] | DUF887-domain-containing protein [0.0215] | ER lumen protein retaining receptor [0.0185] | ER lumen protein-retaining receptor C28H8.4 [0.0183] | UPF0641 membrane protein [0.0162] | ER lumen protein-retaining receptor [0.0147] | MASE4 domain-containing protein [0.0129]
B9J08_000249,Protein TSSC4,0.0866319455543794,Protein TSSC4 [0.0866] | (pine wood nematode) hypothetical protein [0.0366] | Hypothetical protein [0.0248] | Suppressor protein SRP40-like [0.0246] | (thale cress) hypothetical protein [0.0235] | Protein ENL-like [0.0121] | Protein BIG GRAIN 1-like A [0.0118] | Suppressor protein SRP40 [0.0117] | Protein ENL [0.0109] | Protein BIG GRAIN 1-like B [0.0065]
B9J08_000259,HIG1 domain-containing protein,0.820527259083487,"HIG1 domain-containing protein [0.8205] | Respiratory supercomplex factor 2, mitochondrial [0.0133] | Respiratory supercomplex factor 1, mitochondrial [0.0111] | Respiratory supercomplex factor 2-like protein [0.0064] | Hypothetical_protein [0.0050] | Respiratory supercomplex factor 2 [0.0021] | Hypoxia induced protein conserved region-domain-containing protein [0.0020] | HIG1 domain family member 1A, mitochondrial [0.0014] | WGS project CCBQ000000000 data, contig 00015 [0.0014] | Hypoxia induced protein conserved region [0.0012]"
B9J08_000266,Str. FM013,0.0610801570285603,"Str. FM013 [0.0611] | Ricin B-type lectin domain-containing protein [0.0338] | Secreted protein [0.0273] | Rieske domain-containing protein [0.0178] | Copper amine oxidase [0.0121] | WGS project CBMI000000000 data, contig [0.0114] | (Z [0.0080] | Related to cell wall protein PhiA [0.0071] | WGS project CABT00000000 data, contig 2.3 [0.0067] | WGS project CABT00000000 data, contig 2.1 [0.0063]"
B9J08_000292,Similar to,0.0655918882407611,"Similar to [0.0656] | Hypothetical_protein [0.0246] | Cytosolic protein [0.0160] | Conserved serine-rich protein [0.0135] | Signal peptide protein [0.0126] | Conserved protein [0.0100] | Protein lifeguard 1 [0.0086] | WGS project CBMI000000000 data, contig [0.0085] | Pupal cuticle protein [0.0078] | Protein lifeguard 1-like [0.0036]"
B9J08_000295,"ATP synthase subunit e, mitochondrial",0.2402549574250947,"ATP synthase subunit e, mitochondrial [0.2403] | Inner membrane assembly complex subunit 17 [0.0337] | Hypothetical_protein [0.0238] | Mitochondrial ATP synthase subunit e [0.0203] | (pine wood nematode) hypothetical protein [0.0194] | F-type H+-transporting ATPase subunit b [0.0146] | Mitochondrial ATP synthase subunit e, [0.0104] | Mitochondrial ATP synthase subunit [0.0102] | Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial [0.0088] | Cytochrome c oxidase assembly factor 3 [0.0060]"
B9J08_000308,GIT domain-containing protein,0.0586848082720767,GIT domain-containing protein [0.0587] | Coiled-coil domain-containing protein 149 [0.0377] | Coiled-coil domain-containing protein [0.0372] | Hypothetical protein [0.0359] | CCDC92 domain-containing protein [0.0220] | Golgin-84 [0.0190] | Coiled-coil domain-containing protein 52 [0.0185] | Coiled-coil domain-containing protein 16 [0.0160] | Protein CASP [0.0131] | Golgin subfamily A member 2-like [0.0124]
B9J08_000336,Filaggrin,0.0342685325153659,Filaggrin [0.0343] | Fibroin heavy chain [0.0167] | Collagen alpha-1(I) chain [0.0159] | Cell surface protein [0.0079] | Filaggrin-like [0.0058] | Collagen triple helix repeat protein [0.0058] | Collagen alpha-1(I) chain-like [0.0041] | Cell surface antigen Sca1 [0.0035] | Related to LEA domain protein [0.0034] | Collagen alpha-1(III) chain [0.0030]
