Gene ID,source_id,Product Description,Protein Length,Ortholog count,Paralog count,PFam ID,CDD ID,Gene3D ID,Hamap ID,NCBIfam ID,PANTHER ID,PRINTS ID,SFLD ID,PirSF ID,Prositefamilies ID,Smart ID,Superfamily ID,InterPro ID,Computed GO Component IDs,Computed GO Function IDs,Computed GO Process IDs
B9J08_000005,B9J08_000005-t37_1,hypothetical protein,202,8,0,,,,,,,,,,,,,,,,
B9J08_000006,B9J08_000006-t37_1,hypothetical protein,270,10,0,,,,,,,,,,,,,,,,
B9J08_000014,B9J08_000014-t37_1,hypothetical protein,590,21,0,,,,,,,,,,,,,,,,
B9J08_000019,B9J08_000019-t37_1,hypothetical protein,358,22,0,,,,,,,,,,,,,,,,
B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0,,,,,,,,,,,,,,,,
B9J08_000022,B9J08_000022-t37_1,hypothetical protein,253,24,0,,,,,,,,,,,,,,,,
B9J08_000040,B9J08_000040-t37_1,hypothetical protein,647,23,0,,,,,,,,,,,,,,,,
B9J08_000043,B9J08_000043-t37_1,hypothetical protein,845,306,1,,,,,,,,,,,,,,,,
B9J08_000052,B9J08_000052-t37_1,hypothetical protein,196,22,0,,,,,,,,,,,,,,,,
B9J08_000070,B9J08_000070-t37_1,hypothetical protein,665,22,0,,,,,,,,,,,,,,,,
B9J08_000086,B9J08_000086-t37_1,hypothetical protein,341,20,0,,,,,,,,,,,,,,,,
B9J08_000110,B9J08_000110-t37_1,hypothetical protein,273,19,0,,,,,,,,,,,,,,,,
B9J08_000116,B9J08_000116-t37_1,hypothetical protein,284,8,0,,,,,,,,,,,,,,,,
B9J08_000117,B9J08_000117-t37_1,hypothetical protein,258,147,4,,,,,,,,,,,,,,,,
B9J08_000119,B9J08_000119-t37_1,hypothetical protein,100,14,0,,,,,,,,,,,,,,,,
B9J08_000124,B9J08_000124-t37_1,hypothetical protein,659,22,0,,,,,,,,,,,,,,,,
B9J08_000158,B9J08_000158-t37_1,hypothetical protein,186,18,0,,,,,,,,,,,,,,,,
B9J08_000197,B9J08_000197-t37_1,hypothetical protein,767,20,0,,,,,,,,,,,,,,,,
B9J08_000211,B9J08_000211-t37_1,hypothetical protein,194,8,0,,,,,,,,,,,,,,,,
B9J08_000221,B9J08_000221-t37_1,hypothetical protein,160,9,0,,,,,,,,,,,,,,,,
B9J08_000224,B9J08_000224-t37_1,hypothetical protein,248,2,0,,,,,,,,,,,,,,,,
B9J08_000249,B9J08_000249-t37_1,hypothetical protein,436,8,0,,,,,,,,,,,,,,,,
B9J08_000259,B9J08_000259-t37_1,hypothetical protein,188,347,1,,,,,,,,,,,,,,,,
B9J08_000266,B9J08_000266-t37_1,hypothetical protein,324,9,0,,,,,,,,,,,,,,,,
B9J08_000292,B9J08_000292-t37_1,hypothetical protein,213,21,0,,,,,,,,,,,,,,,,
B9J08_000295,B9J08_000295-t37_1,hypothetical protein,115,21,0,,,,,,,,,,,,,,,,
B9J08_000308,B9J08_000308-t37_1,hypothetical protein,406,7,0,,,,,,,,,,,,,,,,
B9J08_000336,B9J08_000336-t37_1,hypothetical protein,1649,25,0,,,,,,,,,,,,,,,,
