Gene ID,source_id,Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,ProtNLM prediction,ProtNLM score,ProtNote GO predictions,GO2SUM summary,Validation category,Notes
B9J08_000012,B9J08_000012-t37_1,ribose-phosphate pyrophosphokinase 4,GO:0002189,ribose phosphate diphosphokinase complex,GO:0005524;GO:0016301;GO:0000287;GO:0004749,ATP binding;kinase activity;magnesium ion binding;ribose phosphate diphosphokinase activity,GO:0006015;GO:0044249;GO:0031505;GO:0009116;GO:0009165;GO:0009156,5-phosphoribose 1-diphosphate biosynthetic process;cellular biosynthetic process;fungal-type cell wall organization;nucleoside metabolic process;nucleotide biosynthetic process;ribonucleoside monophosphate biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,2.7.6.1 (Ribose-phosphate diphosphokinase),2.7.6.1 (Ribose-phosphate diphosphokinase),,,,,,
B9J08_000013,B9J08_000013-t37_1,"dihydroxy-acid dehydratase, mitochondrial",N/A,N/A,GO:0051539;GO:0003824;GO:0004160;GO:0046872,"4 iron, 4 sulfur cluster binding;catalytic activity;dihydroxy-acid dehydratase activity;metal ion binding",GO:0009082,branched-chain amino acid biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,4.2.1.9 (Dihydroxy-acid dehydratase),4.2.1.9 (Dihydroxy-acid dehydratase),,,,,,
B9J08_000015,B9J08_000015-t37_1,"homocitrate synthase, mitochondrial",GO:0005634,nucleus,GO:0046912;GO:0003824;GO:0004410,"acyltransferase, acyl groups converted into alkyl on transfer;catalytic activity;homocitrate synthase activity",GO:0019752;GO:0009085;GO:0019878,carboxylic acid metabolic process;lysine biosynthetic process;lysine biosynthetic process via aminoadipic acid,N/A,N/A,N/A,N/A,N/A,N/A,2.3.3.13 (2-isopropylmalate synthase);2.3.3.14 (Homocitrate synthase),2.3.3.13 (2-isopropylmalate synthase);2.3.3.14 (Homocitrate synthase),,,,,,
B9J08_000020,B9J08_000020-t37_1,"ATP synthase subunit alpha, mitochondrial",GO:0042645;GO:0005754;GO:0005739;GO:0045261,"mitochondrial nucleoid;mitochondrial proton-transporting ATP synthase, catalytic core;mitochondrion;proton-transporting ATP synthase complex, catalytic core F(1)",GO:0005524;GO:0016887;GO:0032559;GO:0046933;GO:0046961,"ATP binding;ATP hydrolysis activity;adenyl ribonucleotide binding;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATPase activity, rotational mechanism",GO:0046034;GO:0015986;GO:1902600,ATP metabolic process;ATP synthesis coupled proton transport;proton transmembrane transport,N/A,N/A,N/A,N/A,N/A,N/A,7.1.2.2 (H(+)-transporting two-sector ATPase),3.4.21.68 (T-plasminogen activator);3.6.3.14 (Transferred entry: 7.1.2.2);7.1.2.2 (H(+)-transporting two-sector ATPase),,,,,,
B9J08_000023,B9J08_000023-t37_1,aminopeptidase 2,GO:0061957;GO:0030287;GO:0005576;GO:0000328;GO:0005771,NVT complex;cell wall-bounded periplasmic space;extracellular region;fungal-type vacuole lumen;multivesicular body,GO:0004177;GO:0070006;GO:0008237;GO:0008270,aminopeptidase activity;metalloaminopeptidase activity;metallopeptidase activity;zinc ion binding,GO:0120113;GO:0043171;GO:0006508,cytoplasm to vacuole transport by the NVT pathway;peptide catabolic process;proteolysis,N/A,N/A,N/A,N/A,N/A,N/A,3.4.11.- (Aminopeptidases.),3.4.11.1 (Leucyl aminopeptidase);3.4.11.14 (Cytosol alanyl aminopeptidase);3.4.11.2 (Membrane alanyl aminopeptidase),,,,,,
B9J08_000038,B9J08_000038-t37_1,ribosomal protein L33,GO:0005762;GO:0005840,mitochondrial large ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000045,B9J08_000045-t37_1,ISWI chromatin-remodeling complex ATPase ISW2,GO:0008623;GO:0005880;GO:0005634,CHRAC;nuclear microtubule;nucleus,GO:0005524;GO:0015616;GO:0019237;GO:0003682;GO:0004386;GO:0016818;GO:0003676;GO:0031491;GO:0070615;GO:0003697,"ATP binding;DNA translocase activity;centromeric DNA binding;chromatin binding;helicase activity;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleic acid binding;nucleosome binding;nucleosome-dependent ATPase activity;single-stranded DNA binding",GO:0043044;GO:0006338;GO:0006348;GO:0060195;GO:0046020;GO:0016584;GO:0000183;GO:0006369,ATP-dependent chromatin remodeling;chromatin remodeling;chromatin silencing at telomere;negative regulation of antisense RNA transcription;negative regulation of transcription from RNA polymerase II promoter by pheromones;nucleosome positioning;rDNA heterochromatin assembly;termination of RNA polyme,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.1 (Non-specific serine/threonine protein kinase);3.2.2.27 (Uracil-DNA glycosylase);3.6.1.- (In phosphorus-containing anhydrides.);3.6.1.3 (Deleted entry);3.6.4.- (Acting on ATP; involved in cellular and subcellular movement.);3.6.4.12 (DNA helicase),,,,,,
B9J08_000046,B9J08_000046-t37_1,uracil-DNA glycosylase,GO:0005737;GO:0005739;GO:0005634,cytoplasm;mitochondrion;nucleus,GO:0004844,uracil DNA N-glycosylase activity,GO:0006281;GO:0006284,DNA repair;base-excision repair,N/A,N/A,N/A,N/A,N/A,N/A,3.2.2.27 (Uracil-DNA glycosylase),3.2.2.27 (Uracil-DNA glycosylase),,,,,,
B9J08_000051,B9J08_000051-t37_1,mitochondrial genome maintenance protein MGM101,GO:0000262;GO:0042645,mitochondrial chromosome;mitochondrial nucleoid,GO:0003697,single-stranded DNA binding,GO:0006281;GO:0036297;GO:0000002;GO:0000725,DNA repair;interstrand cross-link repair;mitochondrial genome maintenance;recombinational repair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000057,B9J08_000057-t37_1,"pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2",GO:1903600,glutaminase complex,GO:0004359,glutaminase activity,GO:0036001;GO:0043066;GO:0042823;GO:0008615;GO:0042819,'de novo' pyridoxal 5'-phosphate biosynthetic process;negative regulation of apoptotic process;pyridoxal phosphate biosynthetic process;pyridoxine biosynthetic process;vitamin B6 biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,3.5.1.2 (Glutaminase);4.3.3.6 (Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)),2.6.-.- (Transferring nitrogenous groups.);3.5.1.2 (Glutaminase);4.3.3.6 (Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)),,,,,,
