Gene ID,Protein Length,Highest Probability,Number High-Confidence Predictions,Top Candidate GO ID,Top Candidate Description,Top Candidate Probability,Top 5 Candidate Predictions,Top 5 GO IDs,Flag_Unusual_or_Context_Sensitive,Flag_Specific_Function
B9J08_004366,113,0.9488,10,GO:0016032,viral process,0.9488,viral process (0.9488) | interspecies interaction between organisms (0.9418) | symbiotic process (0.9392) | multi-organism process (0.9011) | interaction with host (0.8700),GO:0016032 | GO:0044419 | GO:0044403 | GO:0051704 | GO:0051701,True,False
B9J08_000336,1649,0.9302,2,GO:0032502,developmental process,0.9302,developmental process (0.9302) | anatomical structure development (0.8402),GO:0032502 | GO:0048856,True,False
B9J08_004282,263,0.8019,1,GO:0032502,developmental process,0.8019,developmental process (0.8019),GO:0032502,True,False
B9J08_004911,378,0.9934,12,GO:0043933,protein-containing complex subunit organization,0.9934,protein-containing complex subunit organization (0.9934) | protein-containing complex assembly (0.9783) | protein-DNA complex subunit organization (0.9719) | cellular component assembly (0.9691) | cellular protein-containing complex assembly (0.9558),GO:0043933 | GO:0065003 | GO:0071824 | GO:0022607 | GO:0034622,False,True
B9J08_004272,572,0.9862,13,GO:1901363,heterocyclic compound binding,0.9862,heterocyclic compound binding (0.9862) | nucleic acid binding (0.9860) | organic cyclic compound binding (0.9809) | DNA binding (0.9296) | regulation of metabolic process (0.8841),GO:1901363 | GO:0003676 | GO:0097159 | GO:0003677 | GO:0019222,False,True
B9J08_002545,595,0.9742,7,GO:1901363,heterocyclic compound binding,0.9742,heterocyclic compound binding (0.9742) | cation binding (0.9721) | metal ion binding (0.9694) | organic cyclic compound binding (0.9681) | nucleic acid binding (0.9515),GO:1901363 | GO:0043169 | GO:0046872 | GO:0097159 | GO:0003676,False,True
B9J08_004484,225,0.965,3,GO:0031224,intrinsic component of membrane,0.965,intrinsic component of membrane (0.9650) | integral component of membrane (0.9556) | mitochondrial part (0.9185),GO:0031224 | GO:0016021 | GO:0044429,False,True
B9J08_000295,115,0.9515,3,GO:0044429,mitochondrial part,0.9515,mitochondrial part (0.9515) | mitochondrial membrane part (0.8968) | membrane protein complex (0.8595),GO:0044429 | GO:0044455 | GO:0098796,False,True
B9J08_001551,149,0.9472,3,GO:0005618,cell wall,0.9472,cell wall (0.9472) | external encapsulating structure (0.9382) | fungal-type cell wall (0.8506),GO:0005618 | GO:0030312 | GO:0009277,False,True
B9J08_000502,134,0.9365,5,GO:0016021,integral component of membrane,0.9365,integral component of membrane (0.9365) | mitochondrial part (0.9340) | intrinsic component of membrane (0.9083) | transport (0.8334) | mitochondrial membrane part (0.8320),GO:0016021 | GO:0044429 | GO:0031224 | GO:0006810 | GO:0044455,False,True
B9J08_002511,147,0.9345,3,GO:0016021,integral component of membrane,0.9345,integral component of membrane (0.9345) | intrinsic component of membrane (0.9322) | mitochondrial part (0.8820),GO:0016021 | GO:0031224 | GO:0044429,False,True
B9J08_005292,460,0.9343,4,GO:0097159,organic cyclic compound binding,0.9343,organic cyclic compound binding (0.9343) | nucleic acid binding (0.9172) | heterocyclic compound binding (0.9092) | DNA binding (0.8373),GO:0097159 | GO:0003676 | GO:1901363 | GO:0003677,False,True
B9J08_004831,323,0.9305,4,GO:0097159,organic cyclic compound binding,0.9305,organic cyclic compound binding (0.9305) | heterocyclic compound binding (0.9185) | nucleic acid binding (0.8967) | DNA binding (0.8065),GO:0097159 | GO:1901363 | GO:0003676 | GO:0003677,False,True
